time,Half,Clock,Play,Score,game_id,home_id,away_id,game_date
2024-04-09,2,03:50:00,Substitution Purdue: in Fletcher Loyer,49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,03:50:00,Substitution Purdue: out Camden Heide,49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,03:50:00,Timeout commercial,49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,03:50:00,Foul personal (shooting;2 free throws) (inside right) Zach Edey(Purdue),49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,04:21:00,"2pt hook shot (in the paint) missed by Zach Edey(Purdue), rebound defensive Hassan Diarra(UConn)",49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,04:37:00,"3pt jump shot (outside center) missed by Alex Karaban(UConn), rebound defensive Lance Jones(Purdue)",49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,04:52:00,Timeout short Purdue,49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,04:53:00,2pt hook shot (under the basket) made by Zach Edey(Purdue),49 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,05:12:00,2pt pull up jump shot (in the paint) made by Cam Spencer(UConn),47 - 65,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Free throw 2 of 2 (2nd chance) made by Zach Edey(Purdue),47 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,"Free throw 1 of 2 (2nd chance) missed by Zach Edey(Purdue), rebound offensive dead ball Purdue",46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Substitution Purdue: in Lance Jones,46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Substitution Purdue: in Camden Heide,46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Substitution Purdue: out Myles Colvin,46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Substitution Purdue: out Fletcher Loyer,46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Substitution UConn: in Hassan Diarra,46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Substitution UConn: out Samson Johnson,46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:38:00,Foul personal (2 free throws) (in the paint) Samson Johnson(UConn),46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,05:41:00,"3pt jump shot (outside center) missed by Fletcher Loyer(Purdue), rebound offensive Zach Edey(Purdue)",46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,06:00:00,"2pt layup (2nd chance;off turnover) (in the paint) made by Stephon Castle(UConn), assist Tristen Newton(UConn)",46 - 63,5254137,560851,561044,2024-04-08
2024-04-09,2,06:20:00,"3pt step back jump shot (off turnover) (outside center) missed by Tristen Newton(UConn), rebound offensive Alex Karaban(UConn)",46 - 61,5254137,560851,561044,2024-04-08
2024-04-09,2,06:45:00,"Foul personal (back court) Fletcher Loyer(Purdue), foul on Stephon Castle(UConn)",46 - 61,5254137,560851,561044,2024-04-08
2024-04-09,2,06:45:00,Foul (inside left) UConn,46 - 61,5254137,560851,561044,2024-04-08
2024-04-09,2,06:46:00,"Turnover bad pass (outside left) Myles Colvin(Purdue), steal Cam Spencer(UConn)",46 - 61,5254137,560851,561044,2024-04-08
2024-04-09,2,07:04:00,"2pt dunk (under the basket) made by Alex Karaban(UConn), assist Samson Johnson(UConn)",46 - 61,5254137,560851,561044,2024-04-08
2024-04-09,2,07:31:00,"2pt dunk (under the basket) made by Zach Edey(Purdue), assist Braden Smith(Purdue)",46 - 59,5254137,560851,561044,2024-04-08
2024-04-09,2,07:43:00,"2pt alley oop (under the basket) missed by Samson Johnson(UConn), rebound defensive Myles Colvin(Purdue)",44 - 59,5254137,560851,561044,2024-04-08
2024-04-09,2,07:52:00,Free throw 2 of 2 made by Zach Edey(Purdue),44 - 59,5254137,560851,561044,2024-04-08
