Half,Clock,Play,Score,game_id,home_id,away_id,time,game_date
2,10:29:00,Substitution OSU: out Felix Okpara,56 - 49,5252651,560955,561008,2024-03-15,2024-03-14
2,10:29:00,Foul personal (shooting;1 free throw) (under the basket) Felix Okpara(OSU),56 - 49,5252651,560955,561008,2024-03-15,2024-03-14
2,10:29:00,"2pt driving layup (2nd chance) (under the basket) made by Dain Dainja(ILL), assist Terrence Shannon Jr.(ILL)",56 - 49,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,"Free throw 2 of 2 missed by Ty Rodgers(ILL), rebound offensive (team) ILL, rebound offensive (team) ILL",56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution OSU: in Felix Okpara,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution OSU: in Dale Bonner,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution OSU: in Roddy Gayle Jr.,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution OSU: out Devin Royal,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution OSU: out Jamison Battle,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution OSU: out Bruce Thornton,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution ILL: in Dra Gibbs-Lawhorn,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Substitution ILL: out Niccolo Moretti,56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Free throw 1 of 2 made by Ty Rodgers(ILL),56 - 47,5252651,560955,561008,2024-03-15,2024-03-14
2,10:37:00,Foul personal (shooting;2 free throws) (in the paint) Devin Royal(OSU),56 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:00:00,2pt pull up jump shot (off turnover) (in the paint) made by Bruce Thornton(OSU),56 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:16:00,Substitution ILL: in Dain Dainja,54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:16:00,Substitution ILL: in Quincy Guerrier,54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:16:00,Substitution ILL: in Niccolo Moretti,54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:16:00,Substitution ILL: out Coleman Hawkins,54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:16:00,Substitution ILL: out Justin Harmon,54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:16:00,Substitution ILL: out Marcus Domask,54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:16:00,"Turnover lost ball (inside right) Marcus Domask(ILL), steal Zed Key(OSU)",54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:26:00,2pt dunk (2nd chance) (under the basket) made by Zed Key(OSU),54 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:31:00,"2pt turnaround jump shot (inside left) missed by Devin Royal(OSU), rebound offensive Zed Key(OSU)",52 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,11:51:00,2pt driving layup (under the basket) made by Marcus Domask(ILL),52 - 46,5252651,560955,561008,2024-03-15,2024-03-14
2,12:01:00,Timeout commercial,52 - 44,5252651,560955,561008,2024-03-15,2024-03-14
2,12:01:00,Timeout short OSU,52 - 44,5252651,560955,561008,2024-03-15,2024-03-14
2,12:01:00,2pt driving layup (2nd chance) (under the basket) made by Bruce Thornton(OSU),52 - 44,5252651,560955,561008,2024-03-15,2024-03-14
2,12:10:00,"2pt layup (2nd chance) (under the basket) missed by Zed Key(OSU), rebound offensive Devin Royal(OSU)",50 - 44,5252651,560955,561008,2024-03-15,2024-03-14
2,12:15:00,"2pt pull up jump shot (inside center) missed by Devin Royal(OSU), rebound offensive Zed Key(OSU)",50 - 44,5252651,560955,561008,2024-03-15,2024-03-14
2,12:34:00,"2pt layup (under the basket) made by Ty Rodgers(ILL), assist Marcus Domask(ILL)",50 - 44,5252651,560955,561008,2024-03-15,2024-03-14
2,12:51:00,"3pt jump shot (outside right) made by Scotty Middleton(OSU), assist Bruce Thornton(OSU)",50 - 42,5252651,560955,561008,2024-03-15,2024-03-14
2,13:14:00,2pt layup (under the basket) made by Ty Rodgers(ILL),47 - 42,5252651,560955,561008,2024-03-15,2024-03-14
2,13:38:00,"2pt floating jump shot (inside right) made by Scotty Middleton(OSU), assist Bruce Thornton(OSU)",47 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,13:55:00,"3pt jump shot (outside left) missed by Marcus Domask(ILL), rebound defensive Zed Key(OSU)",45 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,14:07:00,Free throw 1 of 1 made by Bruce Thornton(OSU),45 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,14:07:00,Substitution ILL: in Ty Rodgers,44 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,14:07:00,Substitution ILL: out Luke Goode,44 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,14:07:00,Foul personal (shooting;1 free throw) (under the basket) Justin Harmon(ILL),44 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,14:07:00,2pt driving layup (under the basket) made by Bruce Thornton(OSU),44 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,14:22:00,2pt driving layup (under the basket) made by Marcus Domask(ILL),42 - 40,5252651,560955,561008,2024-03-15,2024-03-14
2,14:35:00,"2pt turnaround jump shot (off turnover) (in the paint) made by Devin Royal(OSU), assist Bruce Thornton(OSU)",42 - 38,5252651,560955,561008,2024-03-15,2024-03-14
2,14:48:00,Turnover bad pass (inside left) Coleman Hawkins(ILL),40 - 38,5252651,560955,561008,2024-03-15,2024-03-14
2,14:48:00,Foul ILL,40 - 38,5252651,560955,561008,2024-03-15,2024-03-14
2,15:01:00,"3pt jump shot (outside right) missed by Luke Goode(ILL), rebound offensive (team) ILL",40 - 38,5252651,560955,561008,2024-03-15,2024-03-14
2,15:17:00,"2pt pull up jump shot (in the paint) made by Devin Royal(OSU), assist Bruce Thornton(OSU)",40 - 38,5252651,560955,561008,2024-03-15,2024-03-14
2,15:31:00,Free throw 2 of 2 made by Justin Harmon(ILL),38 - 38,5252651,560955,561008,2024-03-15,2024-03-14
2,15:31:00,Free throw 1 of 2 made by Justin Harmon(ILL),38 - 37,5252651,560955,561008,2024-03-15,2024-03-14
2,15:31:00,Substitution OSU: in Zed Key,38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,15:31:00,Substitution OSU: in Scotty Middleton,38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,15:31:00,Substitution OSU: out Felix Okpara,38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
2,15:31:00,Substitution OSU: out Roddy Gayle Jr.,38 - 36,5252651,560955,561008,2024-03-15,2024-03-14
