Half,Clock,Play,Score,game_id,home_id,away_id,game_date,time,Period
2,12:36:00,Substitution NSU: in Mike Moore,44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:36:00,Substitution NSU: out Shane Hunter,44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:36:00,Substitution NSU: out MJ Iraldi,44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:36:00,Substitution NSU: out Ryker Cisarik,44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:36:00,Substitution NSU: out Ryan Davis,44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:36:00,Substitution NSU: out Isaiah Fuller,44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:36:00,"Foul offensive (back court) Isaiah Fuller(NSU), turnover offensive Isaiah Fuller(NSU), foul on Jon Alessandro(ERAU)",44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:45:00,"3pt jump shot (outside center) missed by Dru Nickson(ERAU), rebound defensive MJ Iraldi(NSU)",44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,12:58:00,"3pt jump shot (outside left) made by MJ Iraldi(NSU), assist Ryker Cisarik(NSU)",44 - 52,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:15:00,"3pt jump shot (outside left) made by Jon Alessandro(ERAU), assist Dru Nickson(ERAU)",44 - 49,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:27:00,Free throw 2 of 2 (2nd chance) made by Isaiah Fuller(NSU),41 - 49,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:27:00,Substitution ERAU: in Jon Alessandro,41 - 48,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:27:00,Substitution ERAU: out Michael McCalister,41 - 48,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:27:00,Free throw 1 of 2 (2nd chance) made by Isaiah Fuller(NSU),41 - 48,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:27:00,Foul personal (shooting;2 free throws) (under the basket) Nikola Jerotic(ERAU),41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:29:00,Foul (in the paint) Nikola Jerotic(ERAU),41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:29:00,"2pt layup (under the basket) missed by Isaiah Fuller(NSU), rebound offensive Isaiah Fuller(NSU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:32:00,"Foul personal (inside right) Malcolm Whitlow(ERAU), foul on Shane Hunter(NSU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,13:40:00,"3pt jump shot (off turnover) (outside right) missed by Michael McCalister(ERAU), rebound defensive Shane Hunter(NSU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,14:01:00,"Turnover lost ball (in the paint) Isaiah Fuller(NSU), steal Dru Nickson(ERAU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,14:07:00,"2pt layup (2nd chance;off turnover) (under the basket) missed by Jerry Bracey II(ERAU), rebound defensive MJ Iraldi(NSU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,14:10:00,"3pt jump shot (off turnover) (outside center) missed by Malcolm Whitlow(ERAU), rebound offensive Jerry Bracey II(ERAU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,14:31:00,"Turnover lost ball (in the paint) Shane Hunter(NSU), steal Malcolm Whitlow(ERAU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,14:39:00,"Turnover lost ball (under the basket) Ryan Davis(NSU), steal Jerry Bracey II(ERAU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,14:41:00,"2pt layup (under the basket) missed by Ryan Davis(NSU), rebound offensive Ryan Davis(NSU)",41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:05:00,2pt jump shot (under the basket) made by Michael McCalister(ERAU),41 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution ERAU: in Nikola Jerotic,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution ERAU: out Danny Sully,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: in Shane Hunter,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: in MJ Iraldi,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: in Ryker Cisarik,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: in Ryan Davis,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: in Isaiah Fuller,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: out Ryan Walsh,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: out GianFranco Grafals,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: out Alex Mangold,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: out Trey Doomes,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Substitution NSU: out Mike Moore,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Timeout commercial,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,"Foul personal (back court) Ryan Walsh(NSU), foul on Malcolm Whitlow(ERAU)",39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:29:00,Foul (under the basket) ERAU,39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:30:00,2pt layup (2nd chance) (under the basket) made by GianFranco Grafals(NSU),39 - 47,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:34:00,"2pt layup (under the basket) missed by Trey Doomes(NSU), rebound offensive GianFranco Grafals(NSU)",39 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,15:45:00,3pt jump shot (outside right) made by Dru Nickson(ERAU),39 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:03:00,"2pt hook shot (in the paint) missed by Trey Doomes(NSU), rebound defensive Jerry Bracey II(ERAU)",36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:14:00,"Foul personal (loose ball) (back court) Jerry Bracey II(ERAU), foul on Trey Doomes(NSU)",36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:15:00,"2pt layup (2nd chance) (under the basket) missed by Danny Sully(ERAU), rebound defensive Trey Doomes(NSU)",36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:22:00,"Free throw 2 of 2 (2nd chance) missed by Danny Sully(ERAU), rebound offensive (team) ERAU",36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:22:00,"Free throw 1 of 2 (2nd chance) missed by Danny Sully(ERAU), rebound offensive dead ball ERAU",36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:22:00,Foul personal (shooting;2 free throws) (in the paint) GianFranco Grafals(NSU),36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:23:00,"3pt jump shot (outside right) missed by Malcolm Whitlow(ERAU), rebound offensive Danny Sully(ERAU)",36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:38:00,Substitution ERAU: in Jerry Bracey II,36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:38:00,Substitution ERAU: out Cameron Shockley-Okeke,36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:38:00,"Foul personal (back court) Ryan Walsh(NSU), foul on Malcolm Whitlow(ERAU)",36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,16:46:00,2pt layup (off turnover) (in the paint) made by GianFranco Grafals(NSU),36 - 45,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:04:00,"Foul personal (back court) Cameron Shockley-Okeke(ERAU), foul on GianFranco Grafals(NSU)",36 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:04:00,"Turnover lost ball (in the paint) Cameron Shockley-Okeke(ERAU), steal GianFranco Grafals(NSU)",36 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:06:00,"2pt layup (off turnover) (under the basket) missed by Cameron Shockley-Okeke(ERAU), rebound offensive Cameron Shockley-Okeke(ERAU)",36 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:17:00,"Turnover bad pass (in the paint) Ryan Walsh(NSU), steal Cameron Shockley-Okeke(ERAU)",36 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:24:00,2pt layup (off turnover) (under the basket) made by Dru Nickson(ERAU),36 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: in Ryan Walsh,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: in GianFranco Grafals,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: in Alex Mangold,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: in Trey Doomes,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: in Mike Moore,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: out Shane Hunter,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: out MJ Iraldi,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: out Ryker Cisarik,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: out Ryan Davis,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Substitution NSU: out Isaiah Fuller,34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:32:00,Turnover bad pass (back court) Ryker Cisarik(NSU),34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:36:00,"2pt jump shot (in the paint) missed by Dru Nickson(ERAU), rebound defensive Ryker Cisarik(NSU)",34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,17:55:00,"3pt jump shot (outside right) made by MJ Iraldi(NSU), assist Shane Hunter(NSU)",34 - 43,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,18:05:00,2pt layup (2nd chance) (under the basket) made by Malcolm Whitlow(ERAU),34 - 40,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,18:19:00,"3pt jump shot (outside right) missed by Malcolm Whitlow(ERAU), rebound offensive Danny Sully(ERAU)",32 - 40,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,18:38:00,2pt layup (under the basket) made by MJ Iraldi(NSU),32 - 40,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,18:51:00,"2pt jump shot (inside right) missed by Malcolm Whitlow(ERAU), rebound defensive Shane Hunter(NSU)",32 - 38,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,19:06:00,2pt hook shot (inside right) made by Ryker Cisarik(NSU),32 - 38,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,19:26:00,2pt layup (under the basket) made by Malcolm Whitlow(ERAU),32 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,19:49:00,"2pt jump shot (inside right) missed by Shane Hunter(NSU), rebound defensive Cameron Shockley-Okeke(ERAU)",30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,20:00:00,Period start,30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,20:00:00,Substitution ERAU: in Danny Sully,30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,20:00:00,Substitution ERAU: in Michael McCalister,30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,20:00:00,Substitution ERAU: in Malcolm Whitlow,30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,20:00:00,Substitution ERAU: out Jerry Bracey II,30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,20:00:00,Substitution ERAU: out Jon Alessandro,30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
2,20:00:00,Substitution ERAU: out Nikola Jerotic,30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,00:00:00,Period end (confirmed),30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,00:00:00,2pt jump shot (2nd chance) (inside left) made by MJ Iraldi(NSU),30 - 36,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,00:02:00,"2pt jump shot (under the basket) missed by Shane Hunter(NSU), rebound offensive MJ Iraldi(NSU)",30 - 34,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,00:19:00,Timeout short NSU,30 - 34,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,00:24:00,2pt dunk (under the basket) made by Cameron Shockley-Okeke(ERAU),30 - 34,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,00:50:00,"3pt jump shot (outside left) made by Ryker Cisarik(NSU), assist Shane Hunter(NSU)",28 - 34,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:06:00,"3pt jump shot (outside center) made by Jon Alessandro(ERAU), assist Jerry Bracey II(ERAU)",28 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:30:00,"2pt floating jump shot (under the basket) missed by Isaiah Fuller(NSU), rebound defensive Cameron Shockley-Okeke(ERAU)",25 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:42:00,Free throw 2 of 2 made by Cameron Shockley-Okeke(ERAU),25 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:42:00,Free throw 1 of 2 made by Cameron Shockley-Okeke(ERAU),24 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:42:00,Substitution ERAU: in Jon Alessandro,23 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:42:00,Substitution ERAU: out Michael McCalister,23 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:42:00,Foul personal (one and one) (in the paint) Shane Hunter(NSU),23 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,01:54:00,"2pt layup (under the basket) made by Isaiah Fuller(NSU), assist Ryan Davis(NSU)",23 - 31,5253196,561502,561458,2024-03-17,2024-03-18,NA
