game_date,home_team,away_team,game_id,home_score,away_score,attendance,neutral
2025-02-08,Buffalo,Georgia St.,6313560,75,80,1395,0
2025-02-08,Eastern Mich.,Old Dominion,6313576,76,70,1673,0
2025-02-08,Delaware,William & Mary,5732760,74,64,2405,0
2025-02-08,Quinnipiac,Niagara,5735092,75,76,1714,0
2025-02-08,Drexel,UNCW,5733160,79,81,1163,0
2025-02-08,Lehigh,American,5733902,75,78,884,0
2025-02-08,Columbia,Brown,5722313,74,72,1347,0
2025-02-08,LIU,Stonehill,5726013,62,59,317,0
2025-02-08,Dartmouth,Harvard,5725944,76,56,1240,0
2025-02-08,Maine,UMBC,5730875,73,50,1002,0
2025-02-08,Morehead St.,Little Rock,5728368,62,76,1956,0
2025-02-08,Akron,South Alabama,5725863,80,67,1505,0
2025-02-08,Ball St.,Southern Miss.,5730783,77,76,3420,0
2025-02-08,Rider,Siena,5722989,61,59,1068,0
2025-02-08,Colgate,Loyola Maryland,5723093,82,68,751,0
2025-02-08,Bowling Green,Coastal Carolina,6313551,67,53,1648,0
2025-02-08,NIU,Louisiana,6313568,64,66,1278,0
2025-02-08,Chicago St.,Saint Francis,5734205,69,81,275,0
2025-02-08,Kansas St.,Kansas,5734174,81,73,11010,0
2025-02-08,Southern Ill.,UIC,5737372,79,67,4321,0
2025-02-08,Omaha,North Dakota St.,5732579,85,74,2288,0
2025-02-08,Creighton,Marquette,5733081,77,67,18185,0
2025-02-08,Baylor,UCF,5734695,91,76,7500,0
2025-02-08,Mercer,Wofford,5730534,66,77,0,0
2025-02-08,North Texas,Tulane,5740740,76,66,4156,0
2025-02-08,Cleveland St.,Milwaukee,5726065,77,60,2269,0
2025-02-08,Merrimack,Canisius,5723350,69,51,1186,0
2025-02-08,Longwood,Radford,5736845,69,71,3072,0
2025-02-08,Butler,Providence,5735500,82,81,8312,0
2025-02-08,Mercyhurst,Le Moyne,5737015,82,78,684,0
2025-02-08,Syracuse,Boston College,5732399,95,86,20881,0
2025-02-08,Missouri,Texas A&M,5734120,64,67,15061,0
2025-02-08,Charlotte,Rice,5737583,78,75,3388,0
2025-02-08,Colorado,Houston,5735768,59,69,7485,0
2025-02-08,Air Force,New Mexico,5728846,53,88,2619,0
2025-02-08,Denver,St. Thomas (MN),5730727,76,79,977,0
2025-02-08,UCLA,Penn St.,5731672,78,54,9156,0
2025-02-08,Wyoming,UNLV,5810976,57,68,3787,0
2025-02-08,George Mason,Rhode Island,5738113,82,67,6861,0
2025-02-08,ETSU,Samford,5740789,66,59,5472,0
2025-02-08,UNC Greensboro,Western Caro.,5737401,74,70,1141,0
2025-02-08,Stetson,Eastern Ky.,5736990,58,83,707,0
