Half,Clock,Play,Score,game_id,home_id,away_id
2,05:24,Timeout commercial,58 - 58,5252669,560901,560983
2,05:24,Timeout short UNT,58 - 58,5252669,560901,560983
2,05:36,2pt driving layup (fast break) (under the basket) made by Alijah Martin(FAU),58 - 58,5252669,560901,560983
2,05:45,"3pt jump shot (2nd chance) (outside center) missed by Jason Edwards(UNT), rebound defensive Brandon Weatherspoon(FAU)",58 - 56,5252669,560901,560983
2,06:03,"3pt jump shot (outside left wing) missed by Jason Edwards(UNT), rebound offensive CJ Noland(UNT)",58 - 56,5252669,560901,560983
2,06:21,Free throw 2 of 2 made by Vladislav Goldin(FAU),58 - 56,5252669,560901,560983
2,06:21,"Free throw 1 of 2 missed by Vladislav Goldin(FAU), rebound offensive dead ball FAU",58 - 55,5252669,560901,560983
2,06:21,Foul personal (shooting;2 free throws) (in the paint) CJ Noland(UNT),58 - 55,5252669,560901,560983
2,06:33,2pt driving layup (under the basket) made by Jason Edwards(UNT),58 - 55,5252669,560901,560983
2,06:48,"2pt layup (under the basket) made by Vladislav Goldin(FAU), assist Jalen Gaffney(FAU)",56 - 55,5252669,560901,560983
2,07:02,Free throw 2 of 2 made by Jason Edwards(UNT),56 - 53,5252669,560901,560983
2,07:02,"Free throw 1 of 2 missed by Jason Edwards(UNT), rebound offensive dead ball UNT",55 - 53,5252669,560901,560983
2,07:02,Timeout commercial,55 - 53,5252669,560901,560983
2,07:02,Foul personal (shooting;2 free throws) (under the basket) Vladislav Goldin(FAU),55 - 53,5252669,560901,560983
2,07:39,"2pt layup (under the basket) made by Johnell Davis(FAU), assist Brandon Weatherspoon(FAU)",55 - 53,5252669,560901,560983
2,07:57,2pt hook shot (in the paint) made by Aaron Scott(UNT),55 - 51,5252669,560901,560983
2,08:15,Free throw 2 of 2 made by Johnell Davis(FAU),53 - 51,5252669,560901,560983
2,08:15,Substitution UNT: in CJ Noland,53 - 50,5252669,560901,560983
2,08:15,Substitution UNT: out Rubin Jones,53 - 50,5252669,560901,560983
2,08:15,Substitution FAU: in Alijah Martin,53 - 50,5252669,560901,560983
2,08:15,Substitution FAU: out Nick Boyd,53 - 50,5252669,560901,560983
2,08:15,Free throw 1 of 2 made by Johnell Davis(FAU),53 - 50,5252669,560901,560983
2,08:15,Foul personal (shooting;2 free throws) (inside left) Rubin Jones(UNT),53 - 49,5252669,560901,560983
2,08:44,"3pt jump shot (off turnover) (outside right) made by Jason Edwards(UNT), assist Aaron Scott(UNT)",53 - 49,5252669,560901,560983
2,09:03,Substitution UNT: in Robert Allen,50 - 49,5252669,560901,560983
2,09:03,Substitution UNT: in Jason Edwards,50 - 49,5252669,560901,560983
2,09:03,Substitution UNT: out CJ Noland,50 - 49,5252669,560901,560983
2,09:03,Substitution UNT: out Moulaye Sissoko,50 - 49,5252669,560901,560983
2,09:03,Turnover out of bounds (inside left wing) Nick Boyd(FAU),50 - 49,5252669,560901,560983
2,09:17,Turnover travel (in the paint) CJ Noland(UNT),50 - 49,5252669,560901,560983
2,09:18,"Foul personal (under the basket) Vladislav Goldin(FAU), foul on Moulaye Sissoko(UNT)",50 - 49,5252669,560901,560983
2,09:21,"3pt jump shot (off turnover) (outside left) missed by John Buggs III(UNT), rebound offensive Moulaye Sissoko(UNT), rebound offensive Aaron Scott(UNT)",50 - 49,5252669,560901,560983
2,09:49,"Turnover lost ball (in the paint) Johnell Davis(FAU), steal CJ Noland(UNT)",50 - 49,5252669,560901,560983
2,10:07,"Turnover lost ball CJ Noland(UNT), steal Vladislav Goldin(FAU)",50 - 49,5252669,560901,560983
2,10:07,Jump ball held ball FAU,50 - 49,5252669,560901,560983
2,10:24,Free throw 2 of 2 (fast break) made by Nick Boyd(FAU),50 - 49,5252669,560901,560983
2,10:24,Free throw 1 of 2 (fast break) made by Nick Boyd(FAU),50 - 48,5252669,560901,560983
2,10:24,Foul personal (shooting;2 free throws) (in the paint) Rubin Jones(UNT),50 - 48,5252669,560901,560983
2,10:31,2pt jump shot (inside left) missed by John Buggs III(UNT),50 - 47,5252669,560901,560983
2,10:43,Substitution UNT: in Aaron Scott,50 - 47,5252669,560901,560983
2,10:43,Substitution UNT: out Jason Edwards,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: in Vladislav Goldin,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: in Brandon Weatherspoon,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: in Jalen Gaffney,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: in Johnell Davis,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: out Alijah Martin,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: out Bryan Greenlee,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: out Giancarlo Rosado,50 - 47,5252669,560901,560983
2,10:43,Substitution FAU: out Brenen Lorient,50 - 47,5252669,560901,560983
2,10:43,Timeout commercial,50 - 47,5252669,560901,560983
2,10:43,"Foul personal (back court) Brenen Lorient(FAU), foul on Jason Edwards(UNT)",50 - 47,5252669,560901,560983
2,10:47,"2pt hook shot (in the paint) missed by Alijah Martin(FAU), rebound defensive Jason Edwards(UNT)",50 - 47,5252669,560901,560983
2,11:12,2pt jump shot (inside right) made by CJ Noland(UNT),50 - 47,5252669,560901,560983
2,11:23,"2pt turnaround jump shot (in the paint) missed by Giancarlo Rosado(FAU), rebound defensive Moulaye Sissoko(UNT)",48 - 47,5252669,560901,560983
2,11:35,"3pt jump shot (outside center) missed by Rubin Jones(UNT), rebound defensive Alijah Martin(FAU)",48 - 47,5252669,560901,560983
2,11:59,"2pt alley oop (under the basket) made by Brenen Lorient(FAU), assist Giancarlo Rosado(FAU)",48 - 47,5252669,560901,560983
2,12:11,"2pt driving layup (under the basket) made by Jason Edwards(UNT), assist CJ Noland(UNT)",48 - 45,5252669,560901,560983
2,12:32,Free throw 2 of 2 made by Giancarlo Rosado(FAU),46 - 45,5252669,560901,560983
2,12:32,"Free throw 1 of 2 missed by Giancarlo Rosado(FAU), rebound offensive dead ball FAU",46 - 44,5252669,560901,560983
2,12:32,Foul personal (shooting;2 free throws) (in the paint) Moulaye Sissoko(UNT),46 - 44,5252669,560901,560983
2,12:52,Substitution UNT: in Rubin Jones,46 - 44,5252669,560901,560983
2,12:52,Substitution UNT: out Aaron Scott,46 - 44,5252669,560901,560983
2,12:52,Free throw 2 of 2 made by Jason Edwards(UNT),46 - 44,5252669,560901,560983
2,12:52,"Free throw 1 of 2 missed by Jason Edwards(UNT), rebound offensive dead ball UNT",45 - 44,5252669,560901,560983
2,12:52,Foul personal (shooting;2 free throws) (in the paint) Giancarlo Rosado(FAU),45 - 44,5252669,560901,560983
2,13:09,2pt alley oop (fast break) (under the basket) missed by Brenen Lorient(FAU),45 - 44,5252669,560901,560983
2,13:18,"3pt jump shot (2nd chance) (outside right) missed by Jason Edwards(UNT), rebound defensive Nick Boyd(FAU)",45 - 44,5252669,560901,560983
2,13:28,Substitution FAU: in Brenen Lorient,45 - 44,5252669,560901,560983
2,13:28,Substitution FAU: out Johnell Davis,45 - 44,5252669,560901,560983
2,13:28,Substitution UNT: in Moulaye Sissoko,45 - 44,5252669,560901,560983
2,13:28,Substitution UNT: out Robert Allen,45 - 44,5252669,560901,560983
2,13:28,Substitution FAU: in Giancarlo Rosado,45 - 44,5252669,560901,560983
2,13:28,Substitution FAU: out Vladislav Goldin,45 - 44,5252669,560901,560983
2,13:28,"Foul personal (in the paint) Nick Boyd(FAU), foul on CJ Noland(UNT)",45 - 44,5252669,560901,560983
2,13:38,"2pt step back jump shot (inside center) missed by CJ Noland(UNT), rebound offensive Robert Allen(UNT)",45 - 44,5252669,560901,560983
2,14:01,Substitution UNT: in John Buggs III,45 - 44,5252669,560901,560983
2,14:01,Substitution UNT: out Rubin Jones,45 - 44,5252669,560901,560983
2,14:01,Free throw 2 of 2 (2nd chance) made by Vladislav Goldin(FAU),45 - 44,5252669,560901,560983
2,14:01,Free throw 1 of 2 (2nd chance) made by Vladislav Goldin(FAU),45 - 43,5252669,560901,560983
2,14:01,Foul personal (shooting;2 free throws) (under the basket) Robert Allen(UNT),45 - 42,5252669,560901,560983
2,14:06,"2pt layup (in the paint) missed by Johnell Davis(FAU), rebound offensive Vladislav Goldin(FAU)",45 - 42,5252669,560901,560983
2,14:15,"2pt pull up jump shot (inside right) missed by Jason Edwards(UNT), rebound defensive Alijah Martin(FAU)",45 - 42,5252669,560901,560983
2,14:37,Free throw 2 of 2 made by Vladislav Goldin(FAU),45 - 42,5252669,560901,560983
2,14:37,Substitution UNT: in Aaron Scott,45 - 41,5252669,560901,560983
2,14:37,Substitution UNT: out Rondel Walker,45 - 41,5252669,560901,560983
2,14:37,Substitution FAU: in Nick Boyd,45 - 41,5252669,560901,560983
2,14:37,Substitution FAU: out Brandon Weatherspoon,45 - 41,5252669,560901,560983
2,14:37,"Free throw 1 of 2 missed by Vladislav Goldin(FAU), rebound offensive dead ball FAU",45 - 41,5252669,560901,560983
2,14:37,Foul personal (shooting;2 free throws) (under the basket) Robert Allen(UNT),45 - 41,5252669,560901,560983
2,15:03,2pt floating jump shot (off turnover;fast break) (in the paint) made by Rondel Walker(UNT),45 - 41,5252669,560901,560983
2,15:07,"Turnover bad pass (in the paint) Johnell Davis(FAU), steal Rondel Walker(UNT)",43 - 41,5252669,560901,560983
