Half,Clock,Play,Score,game_id,home_id,away_id
2,06:27,Timeout short ILL,63 - 59,5252651,560955,561008
2,06:28,"2pt layup (fast break) (under the basket) made by Jamison Battle(OSU), assist Roddy Gayle Jr.(OSU)",63 - 59,5252651,560955,561008
2,06:36,"2pt hook shot (inside left) missed by Dain Dainja(ILL), rebound defensive Roddy Gayle Jr.(OSU)",61 - 59,5252651,560955,561008
2,07:01,"2pt floating jump shot (off turnover) (in the paint) made by Dale Bonner(OSU), assist Bruce Thornton(OSU)",61 - 59,5252651,560955,561008
2,07:06,"Turnover bad pass (inside right) Marcus Domask(ILL), steal Bruce Thornton(OSU)",59 - 59,5252651,560955,561008
2,07:21,Jump ball held ball ILL,59 - 59,5252651,560955,561008
2,07:26,"2pt layup (in the paint) missed by Jamison Battle(OSU), rebound defensive Quincy Guerrier(ILL)",59 - 59,5252651,560955,561008
2,07:41,Free throw 1 of 1 (2nd chance) made by Dain Dainja(ILL),59 - 59,5252651,560955,561008
2,07:41,Timeout commercial,59 - 58,5252651,560955,561008
2,07:41,Foul personal (shooting;1 free throw) (under the basket) Roddy Gayle Jr.(OSU),59 - 58,5252651,560955,561008
2,07:41,2pt dunk (2nd chance) (under the basket) made by Dain Dainja(ILL),59 - 58,5252651,560955,561008
2,07:44,"2pt layup (under the basket) missed by Marcus Domask(ILL), rebound offensive Dain Dainja(ILL)",59 - 56,5252651,560955,561008
2,08:05,"2pt turnaround jump shot (in the paint) made by Jamison Battle(OSU), assist Bruce Thornton(OSU)",59 - 56,5252651,560955,561008
2,08:18,"Free throw 1 of 1 (2nd chance) missed by Dain Dainja(ILL), rebound defensive Bruce Thornton(OSU)",57 - 56,5252651,560955,561008
2,08:18,Substitution OSU: in Zed Key,57 - 56,5252651,560955,561008
2,08:18,Substitution OSU: out Felix Okpara,57 - 56,5252651,560955,561008
2,08:18,Foul personal (shooting;1 free throw) (under the basket) Felix Okpara(OSU),57 - 56,5252651,560955,561008
2,08:18,2pt layup (2nd chance) (under the basket) made by Dain Dainja(ILL),57 - 56,5252651,560955,561008
