time,loc_y,loc_x,shot_team_id,shot_outcome,play_id,description,game_id,home_id,away_id,game_date,full_name,team_id,team_name
2024-04-09,17.155,24.3400001525879,559,FALSE,112410925,'1st 19:31 : 2pt hook shot (in the paint) missed by Zach Edey(Purdue),5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,25.220199928283737,40.5900001525879,164,FALSE,112410928,'1st 19:15 : 3pt jump shot (outside left) missed by Alex Karaban(UConn),5254137,560851,561044,2024-04-08,"UConn Huskies, UConn",560851,UConn
2024-04-09,13.639402008056663,23.20999908447265,559,TRUE,112410930,'1st 19:02 : 2pt turnaround jump shot (in the paint) made by Trey Kaufman-Renn(Purdue) 2-0',5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,21.845599784851107,6.6500015258789,164,TRUE,112410931,'1st 18:40 : 3pt jump shot (outside right) made by Cam Spencer(UConn),5254137,560851,561044,2024-04-08,"UConn Huskies, UConn",560851,UConn
2024-04-09,8.065201721191428,20.11499977111815,559,TRUE,112410933,'1st 18:12 : 2pt driving layup (in the paint) made by Lance Jones(Purdue) 4-3',5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,8.356599426269497,28.70499992370605,559,FALSE,112410941,'1st 17:37 : 2pt layup (blocked) (in the paint) missed by Trey Kaufman-Renn(Purdue),5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,10.264800071716266,20.17000007629395,164,TRUE,112410944,'1st 17:22 : 2pt layup (in the paint) made by Cam Spencer(UConn) 5-7',5254137,560851,561044,2024-04-08,"UConn Huskies, UConn",560851,UConn
2024-04-09,12.172997131347673,22.64999961853025,559,TRUE,112410945,'1st 17:02 : 2pt hook shot (in the paint) made by Zach Edey(Purdue),5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,6.749199838638304,18.47999954223635,559,FALSE,112411214,'2nd 13:39 : 2pt floating jump shot (off turnover) (inside right) missed by Braden Smith(Purdue),5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,5.64,25,559,TRUE,112411216,'2nd 13:39 : 2pt layup (2nd chance;off turnover) (under the basket) made by Zach Edey(Purdue) 38-47',5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,8.356599426269497,23.91500091552735,164,TRUE,112411217,'2nd 13:11 : 2pt driving layup (under the basket) made by Cam Spencer(UConn) 38-49',5254137,560851,561044,2024-04-08,"UConn Huskies, UConn",560851,UConn
2024-04-09,14.222200107574446,27.91500091552735,559,FALSE,112411222,'2nd 12:37 : 2pt hook shot (in the paint) missed by Zach Edey(Purdue),5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,5.282802581787095,29.6900005340576,164,TRUE,112411228,'2nd 12:06 : 2pt driving layup (in the paint) made by Tristen Newton(UConn) 38-51',5254137,560851,561044,2024-04-08,"UConn Huskies, UConn",560851,UConn
2024-04-09,14.37259996414182,2.8450012207031,559,FALSE,112411229,'2nd 11:42 : 3pt jump shot (outside right) missed by Myles Colvin(Purdue),5254137,560851,561044,2024-04-08,Purdue Boilermakers,561044,Purdue
2024-04-09,7.623400573730507,48,164,FALSE,112411231,'2nd 11:33 : 3pt jump shot (outside left) missed by Alex Karaban(UConn),5254137,560851,561044,2024-04-08,"UConn Huskies, UConn",560851,UConn
