game_date,home_team,away_team,game_id,home_score,away_score,attendance,neutral
2025-02-26,Duquesne,St. Bonaventure,5740614,74,48,3115,0
2025-02-26,George Washington,Massachusetts,5737875,55,61,1509,0
2025-02-26,Air Force,San Diego St.,5737254,63,66,1139,0
2025-02-26,Army West Point,Lafayette,5737107,75,48,472,0
2025-02-26,Coastal Carolina,Old Dominion,5736439,65,81,886,0
2025-02-26,UMES,N.C. Central,5735054,67,57,389,0
2025-02-26,Winthrop,Longwood,5737429,55,59,402,0
2025-02-26,Louisiana,South Alabama,5729055,55,48,415,0
2025-02-26,Southern Miss.,Arkansas St.,5723059,55,56,3241,0
2025-02-26,Richmond,Davidson,5809676,59,46,1522,0
2025-02-26,Villanova,Butler,5734375,56,54,1509,0
2025-02-26,Boston U.,Lehigh,5737027,80,68,720,0
2025-02-26,Bucknell,Loyola Maryland,5733954,79,45,266,0
2025-02-26,VCU,Loyola Chicago,5809543,50,52,1084,0
2025-02-26,Ga. Southern,App State,5728436,57,55,522,0
2025-02-26,Marshall,ULM,5729808,73,65,1006,0
2025-02-26,Holy Cross,Colgate,5729190,59,55,562,0
2025-02-26,Eastern Mich.,Miami (OH),5729159,72,82,1113,0
2025-02-26,Presbyterian,UNC Asheville,5737325,60,67,351,0
2025-02-26,IU Indy,Oakland,5723990,80,65,431,0
2025-02-26,Central Mich.,Ball St.,5732239,58,60,1050,0
2025-02-26,Utah St.,San Jose St.,5737356,82,75,427,0
2025-02-26,Michigan,Iowa,5733431,66,79,4082,0
2025-02-26,St. John's (NY),Georgetown,5736561,83,49,733,0
2025-02-26,West Virginia,Utah,5734854,75,46,4471,0
2025-02-26,Dayton,Saint Joseph's,5737907,74,65,2414,0
2025-02-26,Robert Morris,Youngstown St.,5734539,76,53,412,0
2025-02-26,Fla. Atlantic,East Carolina,5737197,70,80,910,0
2025-02-26,Kent St.,NIU,5733550,76,58,1082,0
2025-02-26,Radford,Gardner-Webb,5735984,80,78,613,0
2025-02-26,Fordham,La Salle,5737509,72,51,307,0
