Half,Clock,Play,Score,game_id,home_id,away_id,game_date
2,15:43,Timeout commercial,36 - 30,5251722,560976,560867,2024-03-16
2,16:07,"3pt jump shot (outside center) missed by Timmy Adedire(NCCU), rebound defensive Jevin Muniz(DSU)",36 - 30,5251722,560976,560867,2024-03-16
2,16:22,Free throw 3 of 3 made by Deywilk Tavarez(DSU),36 - 30,5251722,560976,560867,2024-03-16
2,16:22,"Free throw 2 of 3 missed by Deywilk Tavarez(DSU), rebound offensive dead ball DSU",35 - 30,5251722,560976,560867,2024-03-16
2,16:22,Free throw 1 of 3 made by Deywilk Tavarez(DSU),35 - 30,5251722,560976,560867,2024-03-16
2,16:22,Foul personal (shooting;3 free throws) (outside right) Po'Boigh King(NCCU),34 - 30,5251722,560976,560867,2024-03-16
2,16:22,Foul personal (outside right) Po'Boigh King(NCCU),34 - 30,5251722,560976,560867,2024-03-16
2,16:45,"2pt layup (2nd chance) (in the paint) missed by Keishon Porter(NCCU), rebound defensive Wesley Oba(DSU)",34 - 30,5251722,560976,560867,2024-03-16
2,16:48,2pt jump shot (in the paint) missed by Timmy Adedire(NCCU),34 - 30,5251722,560976,560867,2024-03-16
2,17:12,2pt layup (2nd chance;off turnover) (under the basket) made by Martaz Robinson(DSU),34 - 30,5251722,560976,560867,2024-03-16
2,17:15,"3pt jump shot (off turnover) (outside right) missed by Deywilk Tavarez(DSU), rebound offensive Martaz Robinson(DSU)",32 - 30,5251722,560976,560867,2024-03-16
2,17:18,3pt (off turnover) (outside right) made by DSU,35 - 30,5251722,560976,560867,2024-03-16
2,17:46,Turnover lost ball (inside left wing) Po'Boigh King(NCCU),32 - 30,5251722,560976,560867,2024-03-16
2,17:55,2pt driving layup (under the basket) made by Deywilk Tavarez(DSU),32 - 30,5251722,560976,560867,2024-03-16
2,18:13,"2pt layup (under the basket) made by Emmanuel Izunabor(NCCU), assist Po'Boigh King(NCCU)",30 - 30,5251722,560976,560867,2024-03-16
2,18:19,"Foul personal (in the paint) Martaz Robinson(DSU), foul on Fred Cleveland Jr.(NCCU)",30 - 28,5251722,560976,560867,2024-03-16
2,18:32,"Foul personal (back court) Alston Andrews(DSU), foul on Emmanuel Izunabor(NCCU)",34 - 30,5251722,560976,560867,2024-03-16
2,18:32,"Free throw 2 of 2 (off turnover) missed by Deywilk Tavarez(DSU), rebound defensive dead ball NCCU",30 - 28,5251722,560976,560867,2024-03-16
2,18:32,Free throw 1 of 2 (off turnover) made by Deywilk Tavarez(DSU),30 - 28,5251722,560976,560867,2024-03-16
2,18:32,Foul personal (shooting;2 free throws) (under the basket) Fred Cleveland Jr.(NCCU),29 - 28,5251722,560976,560867,2024-03-16
2,18:40,"Turnover lost ball (in the paint) Timmy Adedire(NCCU), steal Alston Andrews(DSU)",29 - 28,5251722,560976,560867,2024-03-16
2,18:51,"Turnover bad pass (inside left) Alston Andrews(DSU), steal Emmanuel Izunabor(NCCU)",34 - 30,5251722,560976,560867,2024-03-16
2,19:01,Turnover out of bounds (inside right wing) Keishon Porter(NCCU),29 - 28,5251722,560976,560867,2024-03-16
2,19:17,2pt layup (2nd chance) (under the basket) made by Wesley Oba(DSU),29 - 28,5251722,560976,560867,2024-03-16
2,19:21,2pt turnaround jump shot (in the paint) missed by Martaz Robinson(DSU),29 - 28,5251722,560976,560867,2024-03-16
2,19:47,"2pt layup (in the paint) made by Emmanuel Izunabor(NCCU), assist Fred Cleveland Jr.(NCCU)",27 - 28,5251722,560976,560867,2024-03-16
2,20:00,Period start,27 - 26,5251722,560976,560867,2024-03-16
2,20:00,Substitution DSU: in Alston Andrews,27 - 26,5251722,560976,560867,2024-03-16
2,20:00,Substitution DSU: out Ricky Deadwyler III,27 - 26,5251722,560976,560867,2024-03-16
2,20:00,Substitution NCCU: in Emmanuel Izunabor,27 - 26,5251722,560976,560867,2024-03-16
2,20:00,Substitution NCCU: out Perry Smith Jr.,27 - 26,5251722,560976,560867,2024-03-16
1,00:00.00,Period end (confirmed),27 - 26,5251722,560976,560867,2024-03-16
1,00:02.00,Substitution DSU: in Ricky Deadwyler III,27 - 26,5251722,560976,560867,2024-03-16
1,00:02.00,Substitution DSU: out Alston Andrews,27 - 26,5251722,560976,560867,2024-03-16
1,00:02.00,Substitution NCCU: in Perry Smith Jr.,27 - 26,5251722,560976,560867,2024-03-16
1,00:02.00,Substitution NCCU: out Ja'Darius Harris,27 - 26,5251722,560976,560867,2024-03-16
1,00:02.00,"Foul personal (back court) Timmy Adedire(NCCU), foul on Alston Andrews(DSU)",27 - 26,5251722,560976,560867,2024-03-16
1,00:04.40,"3pt jump shot (off turnover) (outside left) missed by Ja'Darius Harris(NCCU), rebound defensive dead ball DSU",27 - 26,5251722,560976,560867,2024-03-16
1,00:29.20,Substitution NCCU: in Ja'Darius Harris,27 - 26,5251722,560976,560867,2024-03-16
1,00:29.20,Substitution NCCU: out Perry Smith Jr.,27 - 26,5251722,560976,560867,2024-03-16
1,00:29.20,Timeout short NCCU,27 - 26,5251722,560976,560867,2024-03-16
1,00:29.20,Turnover lost ball (outside left) Deywilk Tavarez(DSU),27 - 26,5251722,560976,560867,2024-03-16
