Half,Clock,Play,Score,game_id,home_id,away_id,game_date
2,01:14,"Foul personal (one and one) (inside right) Giancarlo Bastianoni(UNG), foul on Peyton Gerald(CAT)",67 - 84,5253201,561523,561310,2024-03-18
2,01:28,"2pt layup (under the basket) made by Giancarlo Bastianoni(UNG), assist AJ White(UNG)",67 - 84,5253201,561523,561310,2024-03-18
2,01:44,"3pt jump shot (outside right) missed by Kaleb Wallace(CAT), rebound defensive Cayden Charles(UNG)",67 - 82,5253201,561523,561310,2024-03-18
2,01:53,"Free throw 1 of 1 (fast break;off turnover) missed by Greg Billups, Jr.(UNG), rebound defensive DeAngelo Epps(CAT)",67 - 82,5253201,561523,561310,2024-03-18
2,01:53,Foul personal (one and one) (back court) Peyton Gerald(CAT),67 - 82,5253201,561523,561310,2024-03-18
2,01:57,"Turnover lost ball (in the paint) Javeon Jones(CAT), steal Greg Billups, Jr.(UNG)",67 - 82,5253201,561523,561310,2024-03-18
2,02:06,Free throw 2 of 2 made by Frank Champion(UNG),67 - 82,5253201,561523,561310,2024-03-18
2,02:06,Substitution CAT: in Kris Robinson,67 - 81,5253201,561523,561310,2024-03-18
2,02:06,Substitution CAT: out Dre Nelson,67 - 81,5253201,561523,561310,2024-03-18
2,02:06,"Free throw 1 of 2 missed by Frank Champion(UNG), rebound offensive dead ball UNG",67 - 81,5253201,561523,561310,2024-03-18
2,02:06,Foul personal (shooting;2 free throws) (in the paint) Kaleb Wallace(CAT),67 - 81,5253201,561523,561310,2024-03-18
2,02:35,"2pt layup (under the basket) missed by Kaleb Wallace(CAT), rebound defensive Greg Billups, Jr.(UNG)",67 - 81,5253201,561523,561310,2024-03-18
2,02:44,"3pt jump shot (outside right) missed by AJ White(UNG), rebound defensive Dre Nelson(CAT)",67 - 81,5253201,561523,561310,2024-03-18
2,02:48,Substitution CAT: in Dre Nelson,67 - 81,5253201,561523,561310,2024-03-18
2,02:48,Substitution CAT: out Kris Robinson,67 - 81,5253201,561523,561310,2024-03-18
2,02:48,Timeout commercial,67 - 81,5253201,561523,561310,2024-03-18
2,03:11,"2pt layup (in the paint) missed by Javeon Jones(CAT), rebound defensive Frank Champion(UNG)",67 - 81,5253201,561523,561310,2024-03-18
2,03:33,"2pt layup (under the basket) made by Cayden Charles(UNG), assist Greg Billups, Jr.(UNG)",67 - 81,5253201,561523,561310,2024-03-18
2,03:52,"3pt jump shot (off turnover) (outside center) made by Kris Robinson(CAT), assist Javeon Jones(CAT)",67 - 79,5253201,561523,561310,2024-03-18
2,04:02,"Substitution UNG: in Greg Billups, Jr.",64 - 79,5253201,561523,561310,2024-03-18
2,04:02,Substitution UNG: out Hunter Shedenhelm,64 - 79,5253201,561523,561310,2024-03-18
2,04:02,Turnover lost ball (under the basket) Frank Champion(UNG),64 - 79,5253201,561523,561310,2024-03-18
2,04:23,"2pt layup (in the paint) missed by Javeon Jones(CAT), rebound defensive Giancarlo Bastianoni(UNG)",64 - 79,5253201,561523,561310,2024-03-18
2,04:38,"2pt layup (in the paint) made by Frank Champion(UNG), assist AJ White(UNG)",64 - 79,5253201,561523,561310,2024-03-18
2,05:12,2pt jump shot (inside right) made by Peyton Gerald(CAT),64 - 77,5253201,561523,561310,2024-03-18
2,05:30,"3pt jump shot (outside left) made by Cayden Charles(UNG), assist AJ White(UNG)",62 - 77,5253201,561523,561310,2024-03-18
2,05:56,2pt layup (in the paint) made by Peyton Gerald(CAT),62 - 74,5253201,561523,561310,2024-03-18
2,06:12,Substitution UNG: in Hunter Shedenhelm,60 - 74,5253201,561523,561310,2024-03-18
2,06:12,"Substitution UNG: out Greg Billups, Jr.",60 - 74,5253201,561523,561310,2024-03-18
2,06:15,2pt layup (off turnover;fast break) (under the basket) made by AJ White(UNG),60 - 74,5253201,561523,561310,2024-03-18
2,06:19,"Turnover bad pass (inside center) Kaleb Wallace(CAT), steal AJ White(UNG)",60 - 72,5253201,561523,561310,2024-03-18
2,06:31,Substitution CAT: in DeAngelo Epps,60 - 72,5253201,561523,561310,2024-03-18
2,06:31,Substitution CAT: out Dre Nelson,60 - 72,5253201,561523,561310,2024-03-18
2,06:31,Timeout full CAT,60 - 72,5253201,561523,561310,2024-03-18
2,06:35,2pt layup (off turnover;fast break) (under the basket) made by Cayden Charles(UNG),60 - 72,5253201,561523,561310,2024-03-18
2,06:39,"Turnover bad pass (in the paint) Dre Nelson(CAT), steal Cayden Charles(UNG)",60 - 70,5253201,561523,561310,2024-03-18
2,07:08,2pt layup (under the basket) made by AJ White(UNG),60 - 70,5253201,561523,561310,2024-03-18
2,07:22,2pt layup (2nd chance) (under the basket) made by Peyton Gerald(CAT),60 - 68,5253201,561523,561310,2024-03-18
2,07:28,"2pt layup (in the paint) missed by Dre Nelson(CAT), rebound offensive Peyton Gerald(CAT)",58 - 68,5253201,561523,561310,2024-03-18
2,07:46,Substitution UNG: in AJ White,58 - 68,5253201,561523,561310,2024-03-18
2,07:46,Substitution UNG: out Sutton Smith,58 - 68,5253201,561523,561310,2024-03-18
2,07:46,Timeout commercial,58 - 68,5253201,561523,561310,2024-03-18
2,07:46,"Foul personal (outside right) Sutton Smith(UNG), foul on Javeon Jones(CAT)",58 - 68,5253201,561523,561310,2024-03-18
2,07:52,"2pt dunk (blocked) (in the paint) missed by Giancarlo Bastianoni(UNG), block Dre Nelson(CAT), rebound defensive Javeon Jones(CAT)",58 - 68,5253201,561523,561310,2024-03-18
2,08:00,"3pt jump shot (outside left wing) missed by Dre Nelson(CAT), rebound defensive Sutton Smith(UNG)",58 - 68,5253201,561523,561310,2024-03-18
2,08:24,"2pt layup (in the paint) made by Cayden Charles(UNG), assist Greg Billups, Jr.(UNG)",58 - 68,5253201,561523,561310,2024-03-18
2,08:40,2pt layup (off turnover) (under the basket) made by Javeon Jones(CAT),58 - 66,5253201,561523,561310,2024-03-18
2,08:53,"Foul personal (back court) Frank Champion(UNG), foul on Peyton Gerald(CAT)",56 - 66,5253201,561523,561310,2024-03-18
2,08:54,Turnover lost ball (in the paint) Frank Champion(UNG),56 - 66,5253201,561523,561310,2024-03-18
2,09:10,Substitution CAT: in Kris Robinson,56 - 66,5253201,561523,561310,2024-03-18
2,09:10,Substitution CAT: out DeAngelo Epps,56 - 66,5253201,561523,561310,2024-03-18
2,09:13,"3pt jump shot (outside center) missed by Javeon Jones(CAT), rebound defensive (team) UNG",56 - 66,5253201,561523,561310,2024-03-18
2,09:30,"2pt layup (under the basket) made by Cayden Charles(UNG), assist Sutton Smith(UNG)",56 - 66,5253201,561523,561310,2024-03-18
2,09:51,"2pt layup (fast break) (under the basket) made by Kaleb Wallace(CAT), assist Dre Nelson(CAT)",56 - 64,5253201,561523,561310,2024-03-18
2,09:59,"3pt jump shot (outside left wing) missed by Sutton Smith(UNG), rebound defensive Peyton Gerald(CAT)",54 - 64,5253201,561523,561310,2024-03-18
2,10:23,"3pt jump shot (off turnover) (outside left wing) missed by Dre Nelson(CAT), rebound defensive (team) UNG",54 - 64,5253201,561523,561310,2024-03-18
2,10:30,Substitution UNG: in Sutton Smith,54 - 64,5253201,561523,561310,2024-03-18
2,10:30,Substitution UNG: in Giancarlo Bastianoni,54 - 64,5253201,561523,561310,2024-03-18
2,10:30,Substitution UNG: out Colin Turner,54 - 64,5253201,561523,561310,2024-03-18
2,10:30,Substitution UNG: out AJ White,54 - 64,5253201,561523,561310,2024-03-18
2,10:30,"Foul offensive (back court) Colin Turner(UNG), turnover offensive Colin Turner(UNG), foul on Peyton Gerald(CAT)",54 - 64,5253201,561523,561310,2024-03-18
2,10:37,"2pt layup (blocked) (in the paint) missed by Kaleb Wallace(CAT), block Colin Turner(UNG), rebound defensive Greg Billups, Jr.(UNG)",54 - 64,5253201,561523,561310,2024-03-18
2,10:44,"2pt layup (in the paint) made by Colin Turner(UNG), assist Greg Billups, Jr.(UNG)",54 - 64,5253201,561523,561310,2024-03-18
2,10:45,Substitution CAT: in Peyton Gerald,54 - 62,5253201,561523,561310,2024-03-18
2,10:45,Substitution CAT: out Shad Thomas,54 - 62,5253201,561523,561310,2024-03-18
2,10:45,Substitution UNG: in Cayden Charles,54 - 62,5253201,561523,561310,2024-03-18
2,10:45,Substitution UNG: in Frank Champion,54 - 62,5253201,561523,561310,2024-03-18
2,10:45,Substitution UNG: out Giancarlo Bastianoni,54 - 62,5253201,561523,561310,2024-03-18
2,10:45,Substitution UNG: out Hunter Shedenhelm,54 - 62,5253201,561523,561310,2024-03-18
2,11:08,2pt layup (2nd chance) (under the basket) made by Dre Nelson(CAT),54 - 62,5253201,561523,561310,2024-03-18
2,11:13,"3pt jump shot (outside right wing) missed by Kaleb Wallace(CAT), rebound offensive Dre Nelson(CAT)",52 - 62,5253201,561523,561310,2024-03-18
2,11:37,"3pt jump shot (off turnover) (outside left) missed by AJ White(UNG), rebound defensive Shad Thomas(CAT)",52 - 62,5253201,561523,561310,2024-03-18
2,12:00,Timeout commercial,52 - 62,5253201,561523,561310,2024-03-18
2,12:00,Turnover bad pass (inside left) Javeon Jones(CAT),52 - 62,5253201,561523,561310,2024-03-18
2,12:08,"Free throw 2 of 2 (fast break) made by Greg Billups, Jr.(UNG)",52 - 62,5253201,561523,561310,2024-03-18
2,12:08,"Free throw 1 of 2 (fast break) made by Greg Billups, Jr.(UNG)",52 - 61,5253201,561523,561310,2024-03-18
2,12:08,Foul personal (one and one) (back court) Dre Nelson(CAT),52 - 60,5253201,561523,561310,2024-03-18
