Period,Clock,Play,Score,game_id,home_id,away_id,game_date
4,00:00.00,Period end (confirmed),69 - 74,5254252,560805,561116,2024-03-22
4,00:04.80,"3pt jump shot (outside right) missed by Lacy Stokes(Bears), rebound defensive Kendall Bostic(Illini)",69 - 74,5254252,560805,561116,2024-03-22
4,00:18.50,Timeout full Bears,69 - 74,5254252,560805,561116,2024-03-22
4,00:18.50,"Free throw 2 of 2 (fast break) missed by Shay Bollin(Illini), rebound defensive Kaemyn Bekemeier(Bears)",69 - 74,5254252,560805,561116,2024-03-22
4,00:18.50,"Free throw 1 of 2 (fast break) missed by Shay Bollin(Illini), rebound offensive dead ball Illini",69 - 74,5254252,560805,561116,2024-03-22
4,00:18.50,Foul personal (2 free throws) (outside right) Kaemyn Bekemeier(Bears),69 - 74,5254252,560805,561116,2024-03-22
4,00:19.80,Substitution Bears: in Kaemyn Bekemeier,69 - 74,5254252,560805,561116,2024-03-22
4,00:19.80,Substitution Bears: out Indya Green,69 - 74,5254252,560805,561116,2024-03-22
4,00:19.80,Timeout short Illini,69 - 74,5254252,560805,561116,2024-03-22
4,00:59.10,Substitution Bears: in Paige Rocca,69 - 74,5254252,560805,561116,2024-03-22
4,01:40,Substitution Bears: out Paige Rocca,69 - 74,5254252,560805,561116,2024-03-22
4,00:19.80,"Free throw 2 of 2 missed by Indya Green(Bears), rebound defensive (team) Illini",69 - 74,5254252,560805,561116,2024-03-22
4,00:19.80,Free throw 1 of 2 made by Indya Green(Bears),69 - 74,5254252,560805,561116,2024-03-22
4,00:19.80,Foul personal (2 free throws) (in the paint) Shay Bollin(Illini),68 - 74,5254252,560805,561116,2024-03-22
4,00:19.80,Foul (back court) Bears,68 - 74,5254252,560805,561116,2024-03-22
4,00:23.00,"2pt jump shot (inside right) missed by Kyrah Daniels(Bears), rebound defensive Kendall Bostic(Illini)",68 - 74,5254252,560805,561116,2024-03-22
4,00:59.10,"Foul personal (double) (back court) Kendall Bostic(Illini), foul on Kennedy Taylor(Bears)",68 - 74,5254252,560805,561116,2024-03-22
4,00:27.50,Timeout short Bears,68 - 74,5254252,560805,561116,2024-03-22
4,00:27.50,Free throw 2 of 2 made by Genesis Bryant(Illini),68 - 74,5254252,560805,561116,2024-03-22
4,00:27.50,Free throw 1 of 2 made by Genesis Bryant(Illini),68 - 73,5254252,560805,561116,2024-03-22
4,00:27.50,Foul personal (2 free throws) (outside left) Paige Rocca(Bears),68 - 72,5254252,560805,561116,2024-03-22
4,00:37.90,"2pt layup (off turnover) (under the basket) missed by Indya Green(Bears), rebound defensive Kendall Bostic(Illini)",68 - 72,5254252,560805,561116,2024-03-22
4,00:45.60,Foul offensive (back court) Adalia McKenzie(Illini),68 - 72,5254252,560805,561116,2024-03-22
4,00:59.10,Substitution Bears: in Jade Masogayo,68 - 72,5254252,560805,561116,2024-03-22
4,00:59.10,Substitution Bears: out Kennedy Taylor,68 - 72,5254252,560805,561116,2024-03-22
4,00:59.10,Foul personal (double) (back court) Kennedy Taylor(Bears),69 - 74,5254252,560805,561116,2024-03-22
4,01:04,"3pt jump shot (off turnover) (outside center) missed by Indya Green(Bears), rebound defensive Adalia McKenzie(Illini)",68 - 72,5254252,560805,561116,2024-03-22
4,01:15,"Turnover bad pass (back court) Kendall Bostic(Illini), steal Kyrah Daniels(Bears)",68 - 72,5254252,560805,561116,2024-03-22
4,01:24,"2pt layup (under the basket) missed by Kennedy Taylor(Bears), rebound defensive Adalia McKenzie(Illini)",68 - 72,5254252,560805,561116,2024-03-22
4,01:40,Substitution Bears: in Kennedy Taylor,68 - 72,5254252,560805,561116,2024-03-22
4,01:40,Substitution Bears: out Jade Masogayo,68 - 72,5254252,560805,561116,2024-03-22
4,01:40,Free throw 2 of 2 made by Makira Cook(Illini),68 - 72,5254252,560805,561116,2024-03-22
4,01:40,Free throw 1 of 2 made by Makira Cook(Illini),68 - 71,5254252,560805,561116,2024-03-22
4,01:40,Foul personal (shooting;2 free throws) (in the paint) Jade Masogayo(Bears),68 - 70,5254252,560805,561116,2024-03-22
4,02:03,3pt jump shot (outside center) made by Lacy Stokes(Bears),68 - 70,5254252,560805,561116,2024-03-22
4,02:21,2pt layup (2nd chance) (under the basket) made by Kendall Bostic(Illini),65 - 70,5254252,560805,561116,2024-03-22
4,02:32,"2pt driving layup (blocked) (under the basket) missed by Adalia McKenzie(Illini), block Kyrah Daniels(Bears), rebound offensive Kendall Bostic(Illini)",65 - 68,5254252,560805,561116,2024-03-22
4,02:41,Substitution Bears: in Indya Green,65 - 68,5254252,560805,561116,2024-03-22
4,02:41,Substitution Bears: in Kyrah Daniels,65 - 68,5254252,560805,561116,2024-03-22
4,02:41,Substitution Bears: out Kaemyn Bekemeier,65 - 68,5254252,560805,561116,2024-03-22
4,02:41,Substitution Bears: out Kennedy Taylor,65 - 68,5254252,560805,561116,2024-03-22
4,02:41,Substitution Illini: in Shay Bollin,65 - 68,5254252,560805,561116,2024-03-22
4,02:41,Substitution Illini: out Camille Hobby,65 - 68,5254252,560805,561116,2024-03-22
4,02:41,Timeout short Illini,65 - 68,5254252,560805,561116,2024-03-22
4,02:43,2pt layup (2nd chance) (under the basket) made by Kennedy Taylor(Bears),65 - 68,5254252,560805,561116,2024-03-22
4,02:47,"3pt jump shot (outside right) missed by Paige Rocca(Bears), rebound offensive Kennedy Taylor(Bears)",63 - 68,5254252,560805,561116,2024-03-22
4,02:56,"2pt jump shot (inside right) missed by Makira Cook(Illini), rebound defensive Lacy Stokes(Bears)",63 - 68,5254252,560805,561116,2024-03-22
4,03:21,2pt driving layup (in the paint) made by Lacy Stokes(Bears),63 - 68,5254252,560805,561116,2024-03-22
4,03:38,"3pt jump shot (outside left) missed by Genesis Bryant(Illini), rebound defensive Kennedy Taylor(Bears)",61 - 68,5254252,560805,561116,2024-03-22
4,03:52,Free throw 2 of 2 made by Paige Rocca(Bears),61 - 68,5254252,560805,561116,2024-03-22
4,03:52,Free throw 1 of 2 made by Paige Rocca(Bears),60 - 68,5254252,560805,561116,2024-03-22
4,03:52,Foul personal (shooting;2 free throws) (under the basket) Genesis Bryant(Illini),59 - 68,5254252,560805,561116,2024-03-22
4,03:53,"Foul personal (in the paint) Makira Cook(Illini), foul on Kaemyn Bekemeier(Bears)",61 - 68,5254252,560805,561116,2024-03-22
4,03:55,"3pt jump shot (off turnover) (outside left) missed by Paige Rocca(Bears), rebound defensive Kendall Bostic(Illini)",59 - 68,5254252,560805,561116,2024-03-22
4,04:00,"Turnover lost ball Kendall Bostic(Illini), steal Lacy Stokes(Bears)",59 - 68,5254252,560805,561116,2024-03-22
4,04:00,Jump ball held ball Bears,59 - 68,5254252,560805,561116,2024-03-22
4,04:04,"2pt jump shot (inside left) missed by Lacy Stokes(Bears), rebound defensive Kendall Bostic(Illini)",59 - 68,5254252,560805,561116,2024-03-22
4,04:26,"3pt jump shot (outside right wing) made by Genesis Bryant(Illini), assist Adalia McKenzie(Illini)",59 - 68,5254252,560805,561116,2024-03-22
4,04:40,Substitution Bears: in Jade Masogayo,59 - 65,5254252,560805,561116,2024-03-22
4,04:40,Substitution Bears: out Indya Green,59 - 65,5254252,560805,561116,2024-03-22
4,04:40,Timeout full Bears,59 - 65,5254252,560805,561116,2024-03-22
4,04:41,2pt layup (2nd chance) (under the basket) made by Kaemyn Bekemeier(Bears),59 - 65,5254252,560805,561116,2024-03-22
4,04:46,"2pt jump shot (inside right) missed by Kaemyn Bekemeier(Bears), rebound offensive Kaemyn Bekemeier(Bears)",57 - 65,5254252,560805,561116,2024-03-22
4,05:01,"2pt jump shot (inside center) missed by Kendall Bostic(Illini), rebound defensive Kaemyn Bekemeier(Bears)",57 - 65,5254252,560805,561116,2024-03-22
4,05:28,"3pt jump shot (outside center) missed by Indya Green(Bears), rebound defensive Kendall Bostic(Illini)",57 - 65,5254252,560805,561116,2024-03-22
4,05:52,"2pt jump shot (inside center) made by Camille Hobby(Illini), assist Kendall Bostic(Illini)",57 - 65,5254252,560805,561116,2024-03-22
4,06:03,"2pt driving layup (under the basket) missed by Lacy Stokes(Bears), rebound defensive Genesis Bryant(Illini)",57 - 63,5254252,560805,561116,2024-03-22
4,06:12,"Free throw 2 of 2 (fast break) missed by Genesis Bryant(Illini), rebound defensive Kaemyn Bekemeier(Bears)",57 - 63,5254252,560805,561116,2024-03-22
4,06:12,Free throw 1 of 2 (fast break) made by Genesis Bryant(Illini),57 - 63,5254252,560805,561116,2024-03-22
4,06:12,Foul personal (shooting;2 free throws) (under the basket) Paige Rocca(Bears),57 - 62,5254252,560805,561116,2024-03-22
4,06:20,"3pt jump shot (outside left) missed by Kaemyn Bekemeier(Bears), rebound defensive Kendall Bostic(Illini)",57 - 62,5254252,560805,561116,2024-03-22
4,06:33,Substitution Illini: in Adalia McKenzie,57 - 62,5254252,560805,561116,2024-03-22
4,06:33,Substitution Illini: out Gretchen Dolan,57 - 62,5254252,560805,561116,2024-03-22
4,06:33,Free throw 2 of 2 made by Makira Cook(Illini),57 - 62,5254252,560805,561116,2024-03-22
4,06:33,Free throw 1 of 2 made by Makira Cook(Illini),57 - 61,5254252,560805,561116,2024-03-22
4,06:34,Foul personal (shooting;2 free throws) (in the paint) Lacy Stokes(Bears),57 - 60,5254252,560805,561116,2024-03-22
