Period,Clock,Play,Score,game_id,home_id,away_id,game_date
2,10:00,Substitution Vermont: in Anna Olson,12 - 17,5254232,561032,561189,2024-04-01
2,10:00,Substitution Vermont: out Andjela Matic,12 - 17,5254232,561032,561189,2024-04-01
2,10:00,Substitution Purdue: in Rashunda Jones,12 - 17,5254232,561032,561189,2024-04-01
2,10:00,Substitution Purdue: out Abbey Ellis,12 - 17,5254232,561032,561189,2024-04-01
1,00:04.60,"Turnover lost ball (outside center) Emma Utterback(Vermont), steal Rashunda Jones(Purdue)",12 - 17,5254232,561032,561189,2024-04-01
1,00:00.00,Period end (confirmed),12 - 17,5254232,561032,561189,2024-04-01
1,00:04.60,Substitution Vermont: in Bella Vito,12 - 17,5254232,561032,561189,2024-04-01
1,00:04.60,Substitution Vermont: out Delaney Richason,12 - 17,5254232,561032,561189,2024-04-01
1,00:04.60,Substitution Purdue: in Abbey Ellis,12 - 17,5254232,561032,561189,2024-04-01
1,00:04.60,Substitution Purdue: out Rashunda Jones,12 - 17,5254232,561032,561189,2024-04-01
1,00:04.60,Jump ball held ball Vermont,12 - 17,5254232,561032,561189,2024-04-01
1,00:16.00,"Foul offensive (back court) Rashunda Jones(Purdue), turnover offensive Rashunda Jones(Purdue), foul on Emma Utterback(Vermont)",12 - 17,5254232,561032,561189,2024-04-01
1,00:20.40,"Turnover bad pass (outside center) Emma Utterback(Vermont), steal Jayla Smith(Purdue)",12 - 17,5254232,561032,561189,2024-04-01
1,00:32.80,Substitution Purdue: in Rashunda Jones,12 - 17,5254232,561032,561189,2024-04-01
1,00:32.80,Substitution Purdue: out Abbey Ellis,12 - 17,5254232,561032,561189,2024-04-01
1,00:55.70,"3pt jump shot (outside left) missed by Sophie Swanson(Purdue), rebound defensive (team) Vermont",12 - 17,5254232,561032,561189,2024-04-01
1,01:15,Substitution Vermont: in Nikola Priede,12 - 17,5254232,561032,561189,2024-04-01
1,01:15,Substitution Vermont: in Keira Hanson,12 - 17,5254232,561032,561189,2024-04-01
1,01:15,Substitution Vermont: out Anna Olson,12 - 17,5254232,561032,561189,2024-04-01
1,01:15,Substitution Vermont: out Bella Vito,12 - 17,5254232,561032,561189,2024-04-01
1,01:15,Substitution Purdue: in Mila Reynolds,12 - 17,5254232,561032,561189,2024-04-01
1,01:15,Substitution Purdue: out Mary Ashley Stevenson,12 - 17,5254232,561032,561189,2024-04-01
1,01:17,"2pt jump shot (blocked) (under the basket) missed by Andjela Matic(Vermont), block Jeanae Terry(Purdue), rebound defensive (team) Purdue",12 - 17,5254232,561032,561189,2024-04-01
1,01:40,"2pt layup (under the basket) made by Abbey Ellis(Purdue), assist Jeanae Terry(Purdue)",12 - 17,5254232,561032,561189,2024-04-01
1,01:50,"2pt jump shot (in the paint) missed by Bella Vito(Vermont), rebound defensive Mary Ashley Stevenson (Purdue)",12 - 15,5254232,561032,561189,2024-04-01
1,02:10,"2pt jump shot (inside right) made by Sophie Swanson(Purdue), assist Jeanae Terry(Purdue)",12 - 15,5254232,561032,561189,2024-04-01
1,02:32,"2pt jump shot (under the basket) made by Bella Vito(Vermont), assist Andjela Matic(Vermont)",12 - 13,5254232,561032,561189,2024-04-01
1,02:45,"2pt layup (2nd chance) (under the basket) missed by Mary Ashley Stevenson (Purdue), rebound defensive Andjela Matic(Vermont)",10 - 13,5254232,561032,561189,2024-04-01
1,02:48,"2pt layup (under the basket) missed by Mary Ashley Stevenson (Purdue), rebound offensive Mary Ashley Stevenson (Purdue)",10 - 13,5254232,561032,561189,2024-04-01
1,03:02,"3pt jump shot (outside left) missed by Emma Utterback(Vermont), rebound defensive Mary Ashley Stevenson (Purdue)",10 - 13,5254232,561032,561189,2024-04-01
1,03:10,"2pt driving layup (under the basket) missed by Abbey Ellis(Purdue), rebound defensive Bella Vito(Vermont)",10 - 13,5254232,561032,561189,2024-04-01
1,03:19,3pt jump shot (off turnover) (outside left) missed by Andjela Matic(Vermont),10 - 13,5254232,561032,561189,2024-04-01
1,03:50,Turnover lost ball (inside left) Mary Ashley Stevenson (Purdue),10 - 13,5254232,561032,561189,2024-04-01
1,03:53,"2pt pull up jump shot (in the paint) missed by Jeanae Terry(Purdue), rebound offensive Mary Ashley Stevenson (Purdue)",10 - 13,5254232,561032,561189,2024-04-01
1,04:06,"2pt floating jump shot (off turnover) (inside left) missed by Andjela Matic(Vermont), rebound defensive Jeanae Terry(Purdue)",10 - 13,5254232,561032,561189,2024-04-01
1,04:13,"Turnover bad pass (outside right) Jeanae Terry(Purdue), steal Bella Vito(Vermont), steal Bella Vito(Vermont)",10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Substitution Vermont: in Andjela Matic,10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Substitution Vermont: out Keira Hanson,10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Substitution Purdue: in Sophie Swanson,10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Substitution Purdue: in Jayla Smith,10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Substitution Purdue: out Alaina Harper,10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Substitution Purdue: out Rashunda Jones,10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Timeout commercial,10 - 13,5254232,561032,561189,2024-04-01
1,04:25,Turnover bad pass (in the paint) Emma Utterback(Vermont),10 - 13,5254232,561032,561189,2024-04-01
1,04:31,"2pt jump shot (2nd chance) (under the basket) missed by Rashunda Jones(Purdue), rebound defensive Delaney Richason(Vermont), rebound defensive Anna Olson(Vermont)",10 - 13,5254232,561032,561189,2024-04-01
