Period,Clock,Play,Score,game_id,home_id,away_id,game_date
3,04:56,Substitution UNI: in Rachael Heittola,38 - 36,5254434,561062,560982,2024-03-24
3,04:56,Substitution UNI: out Grace Boffeli,38 - 36,5254434,561062,560982,2024-03-24
3,04:56,Free throw 2 of 2 made by Taryn Wharton(UNI),38 - 36,5254434,561062,560982,2024-03-24
3,04:56,Free throw 1 of 2 made by Taryn Wharton(UNI),37 - 36,5254434,561062,560982,2024-03-24
3,04:56,Substitution SLU: in Tierra Simon,36 - 36,5254434,561062,560982,2024-03-24
3,04:56,Substitution SLU: out Peyton Kennedy,36 - 36,5254434,561062,560982,2024-03-24
3,04:56,Timeout commercial,36 - 36,5254434,561062,560982,2024-03-24
3,04:56,Foul personal (shooting;2 free throws) (in the paint) Peyton Kennedy(SLU),36 - 36,5254434,561062,560982,2024-03-24
3,05:05,Jump ball held ball UNI,36 - 36,5254434,561062,560982,2024-03-24
3,05:14,"Foul personal (inside center) Brooklyn Gray(SLU), foul on Maya McDermott(UNI)",36 - 36,5254434,561062,560982,2024-03-24
3,05:32,"2pt jump shot (off turnover) (inside left wing) made by Kyla McMakin(SLU), assist Peyton Kennedy(SLU)",36 - 36,5254434,561062,560982,2024-03-24
3,05:44,Substitution UNI: in Taryn Wharton,36 - 34,5254434,561062,560982,2024-03-24
3,05:44,Substitution UNI: out Cailyn Morgan,36 - 34,5254434,561062,560982,2024-03-24
3,05:44,"Foul offensive (back court) Grace Boffeli(UNI), turnover offensive Grace Boffeli(UNI), foul on Marcavia Shavers(SLU)",36 - 34,5254434,561062,560982,2024-03-24
3,06:03,"Free throw 1 of 1 (fast break) missed by Kyla McMakin(SLU), rebound defensive Ryley Goebel(UNI)",36 - 34,5254434,561062,560982,2024-03-24
3,06:03,Substitution UNI: in Ryley Goebel,36 - 34,5254434,561062,560982,2024-03-24
3,06:03,Substitution UNI: out Shateah Wetering,36 - 34,5254434,561062,560982,2024-03-24
3,06:03,Substitution SLU: in Marcavia Shavers,36 - 34,5254434,561062,560982,2024-03-24
3,06:03,Substitution SLU: out Tierra Simon,36 - 34,5254434,561062,560982,2024-03-24
3,06:03,Foul personal (shooting;1 free throw) (in the paint) Maya McDermott(UNI),36 - 34,5254434,561062,560982,2024-03-24
3,06:03,"2pt layup (fast break) (in the paint) made by Kyla McMakin(SLU), assist Julia Martinez(SLU)",36 - 34,5254434,561062,560982,2024-03-24
3,06:09,"2pt layup (2nd chance) (in the paint) made by Shateah Wetering(UNI), assist Maya McDermott(UNI)",36 - 32,5254434,561062,560982,2024-03-24
3,06:30,"2pt hook shot (inside right) missed by Maya McDermott(UNI), rebound offensive (team) UNI",34 - 32,5254434,561062,560982,2024-03-24
3,06:41,"Free throw 1 of 1 (off turnover) missed by Julia Martinez(SLU), rebound defensive (team) UNI",34 - 32,5254434,561062,560982,2024-03-24
3,06:41,Foul personal (shooting;1 free throw) (under the basket) Kayba Laube(UNI),34 - 32,5254434,561062,560982,2024-03-24
3,06:41,2pt layup (off turnover) (under the basket) made by Julia Martinez(SLU),34 - 32,5254434,561062,560982,2024-03-24
3,06:45,"Turnover bad pass (inside left) Shateah Wetering(UNI), steal Brooklyn Gray(SLU)",34 - 30,5254434,561062,560982,2024-03-24
3,06:59,"2pt jump shot (inside center) missed by Kyla McMakin(SLU), rebound defensive Kayba Laube(UNI)",34 - 30,5254434,561062,560982,2024-03-24
3,07:25,Free throw 2 of 2 made by Maya McDermott(UNI),34 - 30,5254434,561062,560982,2024-03-24
3,07:25,Free throw 1 of 2 made by Maya McDermott(UNI),33 - 30,5254434,561062,560982,2024-03-24
3,07:25,Substitution SLU: in Brooklyn Gray,32 - 30,5254434,561062,560982,2024-03-24
3,07:25,Substitution SLU: out Kennedy Calhoun,32 - 30,5254434,561062,560982,2024-03-24
3,07:25,Foul personal (shooting;2 free throws) (in the paint) Kennedy Calhoun(SLU),32 - 30,5254434,561062,560982,2024-03-24
3,07:43,"2pt layup (2nd chance) (under the basket) missed by Kyla McMakin(SLU), rebound defensive (team) UNI",32 - 30,5254434,561062,560982,2024-03-24
3,07:46,"2pt jump shot (inside left) missed by Kennedy Calhoun(SLU), rebound offensive Kyla McMakin(SLU)",32 - 30,5254434,561062,560982,2024-03-24
3,08:19,Timeout commercial,32 - 30,5254434,561062,560982,2024-03-24
3,08:19,Timeout short UNI,32 - 30,5254434,561062,560982,2024-03-24
3,08:21,"3pt jump shot (outside right) made by Cailyn Morgan(UNI), assist Maya McDermott(UNI)",32 - 30,5254434,561062,560982,2024-03-24
3,08:43,"2pt layup (under the basket) made by Tierra Simon(SLU), assist Julia Martinez(SLU)",29 - 30,5254434,561062,560982,2024-03-24
3,08:54,2pt layup (2nd chance) (in the paint) made by Grace Boffeli(UNI),29 - 28,5254434,561062,560982,2024-03-24
3,09:15,"3pt jump shot (2nd chance) (outside right wing) missed by Maya McDermott(UNI), rebound offensive (team) UNI",27 - 28,5254434,561062,560982,2024-03-24
3,09:20,"Foul personal (in the paint) Kennedy Calhoun(SLU), foul on Shateah Wetering(UNI)",27 - 28,5254434,561062,560982,2024-03-24
3,09:24,"3pt jump shot (outside left) missed by Cailyn Morgan(UNI), rebound offensive Shateah Wetering(UNI)",27 - 28,5254434,561062,560982,2024-03-24
3,09:34,2pt layup (2nd chance) (in the paint) made by Kennedy Calhoun(SLU),27 - 28,5254434,561062,560982,2024-03-24
3,09:39,"2pt jump shot (in the paint) missed by Kyla McMakin(SLU), rebound offensive Tierra Simon(SLU)",27 - 26,5254434,561062,560982,2024-03-24
3,10:00,Period start,27 - 26,5254434,561062,560982,2024-03-24
3,10:00,Substitution SLU: in Tierra Simon,27 - 26,5254434,561062,560982,2024-03-24
3,10:00,Substitution SLU: in Julia Martinez,27 - 26,5254434,561062,560982,2024-03-24
3,10:00,Substitution SLU: out Brooklyn Gray,27 - 26,5254434,561062,560982,2024-03-24
3,10:00,Substitution SLU: out Camreé Clegg,27 - 26,5254434,561062,560982,2024-03-24
2,00:00.00,Period end (confirmed),27 - 26,5254434,561062,560982,2024-03-24
2,00:00.80,"Turnover lost ball (inside left) Kyla McMakin(SLU), steal Kayba Laube(UNI)",27 - 26,5254434,561062,560982,2024-03-24
2,00:18.90,Turnover lost ball (in the paint) Shateah Wetering(UNI),27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution UNI: in Grace Boffeli,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution UNI: in Shateah Wetering,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution UNI: in Maya McDermott,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution UNI: out Rachael Heittola,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution UNI: out Taryn Wharton,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution UNI: out Ryley Goebel,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution SLU: in Kyla McMakin,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,Substitution SLU: out Julia Martinez,27 - 26,5254434,561062,560982,2024-03-24
2,00:31.40,"Foul personal (back court) Kennedy Calhoun(SLU), foul on Taryn Wharton(UNI)",27 - 26,5254434,561062,560982,2024-03-24
2,00:45.20,"3pt jump shot (2nd chance) (outside right) made by Julia Martinez(SLU), assist Peyton Kennedy(SLU)",27 - 26,5254434,561062,560982,2024-03-24
