Half,Clock,Play,Score,game_id,home_id,away_id,game_date
1,06:54,Timeout commercial,23 - 12,5254070,560947,561222,2024-03-19
1,06:56,"3pt jump shot (outside left) missed by Marcus Dockery(HOW), rebound defensive (team) WAG",23 - 12,5254070,560947,561222,2024-03-19
1,07:12,Substitution HOW: in Bryce Harris,23 - 12,5254070,560947,561222,2024-03-19
1,07:12,Substitution HOW: out Ose Okojie,23 - 12,5254070,560947,561222,2024-03-19
1,07:12,Timeout commercial,23 - 12,5254070,560947,561222,2024-03-19
1,07:12,Timeout short HOW,23 - 12,5254070,560947,561222,2024-03-19
1,07:23,2pt layup (under the basket) made by Melvin Council Jr.(WAG),23 - 12,5254070,560947,561222,2024-03-19
1,07:32,"2pt layup (in the paint) missed by Ose Okojie(HOW), rebound defensive Keyontae Lewis(WAG)",21 - 12,5254070,560947,561222,2024-03-19
1,07:51,"3pt jump shot (outside left wing) missed by Tyje Kelton(WAG), rebound defensive Seth Towns(HOW)",21 - 12,5254070,560947,561222,2024-03-19
1,08:19,"3pt jump shot (outside right) missed by Marcus Dockery(HOW), rebound defensive Keyontae Lewis(WAG)",21 - 12,5254070,560947,561222,2024-03-19
1,08:32,"2pt jump shot (in the paint) missed by Melvin Council Jr.(WAG), rebound defensive Jordan Hairston(HOW)",21 - 12,5254070,560947,561222,2024-03-19
1,08:54,"2pt jump shot (in the paint) made by Ose Okojie(HOW), assist Marcus Dockery(HOW)",21 - 12,5254070,560947,561222,2024-03-19
1,09:12,Substitution HOW: in Ose Okojie,21 - 10,5254070,560947,561222,2024-03-19
1,09:12,Substitution HOW: out Isiah Warfield,21 - 10,5254070,560947,561222,2024-03-19
1,09:14,"2pt layup (in the paint) missed by Tyje Kelton(WAG), rebound defensive (team) HOW",21 - 10,5254070,560947,561222,2024-03-19
1,09:39,"Free throw 2 of 2 missed by Jordan Hairston(HOW), rebound defensive Keyontae Lewis(WAG)",21 - 10,5254070,560947,561222,2024-03-19
1,09:40,"Free throw 1 of 2 missed by Jordan Hairston(HOW), rebound offensive dead ball HOW",21 - 10,5254070,560947,561222,2024-03-19
1,09:40,Foul personal (shooting;2 free throws) (in the paint) Julian Brown(WAG),21 - 10,5254070,560947,561222,2024-03-19
1,09:47,Substitution WAG: in Keyontae Lewis,21 - 10,5254070,560947,561222,2024-03-19
1,09:47,Substitution WAG: out Seck Zongo,21 - 10,5254070,560947,561222,2024-03-19
1,09:47,"Foul personal (inside left) Seck Zongo(WAG), foul on Seth Towns(HOW)",21 - 10,5254070,560947,561222,2024-03-19
1,09:47,"Foul personal (in the paint) Seck Zongo(WAG), foul on Seth Towns(HOW)",21 - 10,5254070,560947,561222,2024-03-19
1,10:01,"2pt layup (off turnover) (in the paint) made by Melvin Council Jr.(WAG), assist Javier Ezquerra(WAG)",21 - 10,5254070,560947,561222,2024-03-19
1,10:14,Substitution HOW: in Shy Odom,19 - 10,5254070,560947,561222,2024-03-19
1,10:14,Substitution HOW: out Bryce Harris,19 - 10,5254070,560947,561222,2024-03-19
1,10:15,Turnover bad pass (inside center) Isiah Warfield(HOW),19 - 10,5254070,560947,561222,2024-03-19
1,10:33,"3pt jump shot (fast break) (outside left) made by Julian Brown(WAG), assist Melvin Council Jr.(WAG)",19 - 10,5254070,560947,561222,2024-03-19
1,10:41,"3pt jump shot (outside center) missed by Isiah Warfield(HOW), rebound defensive Melvin Council Jr.(WAG)",16 - 10,5254070,560947,561222,2024-03-19
1,11:06,2pt jump shot (in the paint) made by Seck Zongo(WAG),16 - 10,5254070,560947,561222,2024-03-19
1,11:29,"2pt jump shot (2nd chance) (in the paint) missed by Seth Towns(HOW), rebound defensive Tyje Kelton(WAG)",14 - 10,5254070,560947,561222,2024-03-19
1,11:32,Substitution HOW: in Seth Towns,14 - 10,5254070,560947,561222,2024-03-19
1,11:32,Substitution HOW: out Elijah Williams,14 - 10,5254070,560947,561222,2024-03-19
1,11:35,"2pt jump shot (inside center) missed by Jordan Hairston(HOW), rebound offensive (team) HOW",14 - 10,5254070,560947,561222,2024-03-19
1,11:53,Timeout commercial,14 - 10,5254070,560947,561222,2024-03-19
1,11:53,"Foul personal (in the paint) Tyje Kelton(WAG), foul on Bryce Harris(HOW)",14 - 10,5254070,560947,561222,2024-03-19
1,12:07,Substitution WAG: in Seck Zongo,14 - 10,5254070,560947,561222,2024-03-19
1,12:07,Substitution WAG: in Tyje Kelton,14 - 10,5254070,560947,561222,2024-03-19
1,12:07,Substitution WAG: out Keyontae Lewis,14 - 10,5254070,560947,561222,2024-03-19
1,12:07,Substitution WAG: out Tahron Allen,14 - 10,5254070,560947,561222,2024-03-19
1,12:07,Substitution HOW: in Elijah Williams,14 - 10,5254070,560947,561222,2024-03-19
1,12:07,Substitution HOW: out Seth Towns,14 - 10,5254070,560947,561222,2024-03-19
1,12:07,"Foul personal (back court) Tahron Allen(WAG), foul on Seth Towns(HOW)",14 - 10,5254070,560947,561222,2024-03-19
1,12:08,"2pt jump shot (inside right) missed by Keyontae Lewis(WAG), rebound defensive Seth Towns(HOW)",14 - 10,5254070,560947,561222,2024-03-19
1,12:39,2pt jump shot (in the paint) made by Bryce Harris(HOW),14 - 10,5254070,560947,561222,2024-03-19
1,13:04,"2pt jump shot (fast break) (in the paint) made by Keyontae Lewis(WAG), assist Melvin Council Jr.(WAG)",14 - 8,5254070,560947,561222,2024-03-19
1,13:12,"2pt jump shot (blocked) (inside right) missed by Bryce Harris(HOW), block Keyontae Lewis(WAG), rebound defensive Tahron Allen(WAG)",12 - 8,5254070,560947,561222,2024-03-19
1,13:35,"3pt jump shot (off turnover) (outside left) missed by Tahron Allen(WAG), rebound defensive (team) HOW",12 - 8,5254070,560947,561222,2024-03-19
1,13:53,"Turnover bad pass (back court) Seth Towns(HOW), steal Javier Ezquerra(WAG)",12 - 8,5254070,560947,561222,2024-03-19
1,13:53,Turnover (outside center) WAG,12 - 8,5254070,560947,561222,2024-03-19
1,14:01,"2pt jump shot (inside right) missed by Julian Brown(WAG), rebound defensive Seth Towns(HOW), rebound defensive Bryce Harris(HOW)",12 - 8,5254070,560947,561222,2024-03-19
1,14:23,"Foul personal (back court) Jordan Hairston(HOW), foul on Javier Ezquerra(WAG)",12 - 8,5254070,560947,561222,2024-03-19
1,14:31,2pt layup (2nd chance) (in the paint) made by Bryce Harris(HOW),12 - 8,5254070,560947,561222,2024-03-19
1,14:42,"2pt layup (2nd chance) (in the paint) missed by Bryce Harris(HOW), rebound offensive (team) HOW",12 - 6,5254070,560947,561222,2024-03-19
1,14:46,"2pt jump shot (in the paint) missed by Bryce Harris(HOW), rebound offensive Bryce Harris(HOW)",12 - 6,5254070,560947,561222,2024-03-19
1,15:22,3pt jump shot (off turnover) (outside center) made by Melvin Council Jr.(WAG),12 - 6,5254070,560947,561222,2024-03-19
1,15:49,Timeout commercial,9 - 6,5254070,560947,561222,2024-03-19
1,15:49,Turnover bad pass (outside center) Isiah Warfield(HOW),9 - 6,5254070,560947,561222,2024-03-19
1,16:02,2pt jump shot (off turnover) (inside right) made by Melvin Council Jr.(WAG),9 - 6,5254070,560947,561222,2024-03-19
1,16:15,"Foul personal (inside left) Isiah Warfield(HOW), foul on Tahron Allen(WAG)",7 - 6,5254070,560947,561222,2024-03-19
1,16:30,Turnover 10sec (team) (back court) HOW,9 - 6,5254070,560947,561222,2024-03-19
1,16:42,"2pt layup (off turnover;fast break) (under the basket) made by Tahron Allen(WAG), assist Melvin Council Jr.(WAG)",7 - 6,5254070,560947,561222,2024-03-19
1,16:49,"Turnover lost ball (inside center) Seth Towns(HOW), steal Melvin Council Jr.(WAG)",5 - 6,5254070,560947,561222,2024-03-19
1,16:56,"Turnover lost ball (under the basket) Melvin Council Jr.(WAG), steal Isiah Warfield(HOW)",5 - 6,5254070,560947,561222,2024-03-19
1,17:04,"3pt jump shot (outside left) missed by Bryce Harris(HOW), rebound defensive Melvin Council Jr.(WAG)",5 - 6,5254070,560947,561222,2024-03-19
1,17:20,"3pt jump shot (outside left) missed by Julian Brown(WAG), rebound defensive Isiah Warfield(HOW)",5 - 6,5254070,560947,561222,2024-03-19
