Period,Clock,Play,Score,game_id,home_id,away_id,game_date
4,02:45,"2pt pull up jump shot (off turnover) (inside center) missed by Jada Walker(Bears), rebound defensive Clara Strack(Hokies)",68 - 64,5254196,561196,560611,2024-03-25
4,02:53,"Foul personal (back court) Cayla King(Hokies), foul on Sarah Andrews(Bears)",68 - 64,5254196,561196,560611,2024-03-25
4,02:53,"Turnover bad pass (back court) Georgia Amoore(Hokies), steal Sarah Andrews(Bears)",68 - 64,5254196,561196,560611,2024-03-25
4,03:05,2pt pull up jump shot (inside left) made by Jada Walker(Bears),68 - 64,5254196,561196,560611,2024-03-25
4,03:26,2pt driving layup (off turnover) (under the basket) made by Cayla King(Hokies),66 - 64,5254196,561196,560611,2024-03-25
4,03:46,Substitution Bears: in Denae Fritz,66 - 62,5254196,561196,560611,2024-03-25
4,03:46,Substitution Bears: out Jana Van Gytenbeek,66 - 62,5254196,561196,560611,2024-03-25
4,03:46,"Foul offensive (back court) Aijha Blackwell(Bears), turnover offensive Aijha Blackwell(Bears), foul on Clara Strack(Hokies)",66 - 62,5254196,561196,560611,2024-03-25
4,04:02,Substitution Bears: in Sarah Andrews,66 - 62,5254196,561196,560611,2024-03-25
4,04:02,Substitution Bears: out Yaya Felder,66 - 62,5254196,561196,560611,2024-03-25
4,04:14,"2pt floating jump shot (inside right) missed by Georgia Amoore(Hokies), rebound defensive Aijha Blackwell(Bears)",66 - 62,5254196,561196,560611,2024-03-25
4,04:45,"2pt layup (2nd chance) (under the basket) made by Darianna Littlepage-Buggs(Bears), assist Jada Walker(Bears)",66 - 62,5254196,561196,560611,2024-03-25
4,04:48,Substitution Bears: in Yaya Felder,64 - 62,5254196,561196,560611,2024-03-25
4,04:48,Substitution Bears: out Sarah Andrews,64 - 62,5254196,561196,560611,2024-03-25
4,04:48,Timeout commercial,64 - 62,5254196,561196,560611,2024-03-25
4,04:48,Jump ball held ball Bears,64 - 62,5254196,561196,560611,2024-03-25
4,04:58,"3pt jump shot (outside left) missed by Sarah Andrews(Bears), rebound offensive Darianna Littlepage-Buggs(Bears)",64 - 62,5254196,561196,560611,2024-03-25
4,05:23,2pt driving layup (in the paint) made by Matilda Ekh(Hokies),64 - 62,5254196,561196,560611,2024-03-25
4,05:42,2pt pull up jump shot (inside right) made by Jada Walker(Bears),64 - 60,5254196,561196,560611,2024-03-25
4,05:51,"Free throw 2 of 2 missed by Clara Strack(Hokies), rebound defensive Aijha Blackwell(Bears)",62 - 60,5254196,561196,560611,2024-03-25
4,05:51,Free throw 1 of 2 made by Clara Strack(Hokies),62 - 60,5254196,561196,560611,2024-03-25
4,05:51,"Foul personal (shooting;2 free throws) (under the basket) Aijha Blackwell(Bears), foul on Clara Strack(Hokies)",62 - 59,5254196,561196,560611,2024-03-25
4,06:01,"2pt driving layup (blocked) (under the basket) missed by Sarah Andrews(Bears), block Matilda Ekh(Hokies), rebound defensive Olivia Summiel(Hokies)",62 - 59,5254196,561196,560611,2024-03-25
4,06:20,"2pt layup (under the basket) missed by Clara Strack(Hokies), rebound defensive Aijha Blackwell(Bears)",62 - 59,5254196,561196,560611,2024-03-25
4,06:39,2pt layup (2nd chance) (under the basket) made by Darianna Littlepage-Buggs(Bears),62 - 59,5254196,561196,560611,2024-03-25
4,06:42,"2pt driving layup (in the paint) missed by Jada Walker(Bears), rebound offensive Darianna Littlepage-Buggs(Bears)",60 - 59,5254196,561196,560611,2024-03-25
4,06:53,"3pt jump shot (off turnover) (outside center) missed by Cayla King(Hokies), rebound defensive Aijha Blackwell(Bears)",60 - 59,5254196,561196,560611,2024-03-25
4,07:05,Substitution Bears: in Aijha Blackwell,60 - 59,5254196,561196,560611,2024-03-25
4,07:05,Substitution Bears: in Darianna Littlepage-Buggs,60 - 59,5254196,561196,560611,2024-03-25
4,07:05,Substitution Bears: out Dre'una Edwards,60 - 59,5254196,561196,560611,2024-03-25
4,07:05,Substitution Bears: out Bella Fontleroy,60 - 59,5254196,561196,560611,2024-03-25
4,07:05,Substitution Hokies: in Olivia Summiel,60 - 59,5254196,561196,560611,2024-03-25
4,07:05,Substitution Hokies: out Carleigh Wenzel,60 - 59,5254196,561196,560611,2024-03-25
4,07:05,Turnover travel (inside right) Dre'una Edwards(Bears),60 - 59,5254196,561196,560611,2024-03-25
4,07:14,"2pt driving layup (under the basket) made by Clara Strack(Hokies), assist Georgia Amoore(Hokies)",60 - 59,5254196,561196,560611,2024-03-25
4,07:36,"3pt jump shot (outside right) missed by Sarah Andrews(Bears), rebound defensive Clara Strack(Hokies)",60 - 57,5254196,561196,560611,2024-03-25
4,07:59,2pt driving layup (under the basket) made by Cayla King(Hokies),60 - 57,5254196,561196,560611,2024-03-25
4,08:16,"3pt jump shot (off turnover) (outside left) missed by Bella Fontleroy(Bears), rebound defensive Clara Strack(Hokies)",60 - 55,5254196,561196,560611,2024-03-25
4,08:21,"Turnover lost ball (back court) Clara Strack(Hokies), steal Dre'una Edwards(Bears)",60 - 55,5254196,561196,560611,2024-03-25
4,08:25,"2pt floating jump shot (off turnover) (in the paint) missed by Sarah Andrews(Bears), rebound defensive Clara Strack(Hokies)",60 - 55,5254196,561196,560611,2024-03-25
4,08:32,Turnover lost ball (inside right) Matilda Ekh(Hokies),60 - 55,5254196,561196,560611,2024-03-25
4,08:48,"2pt layup (under the basket) made by Bella Fontleroy(Bears), assist Sarah Andrews(Bears)",60 - 55,5254196,561196,560611,2024-03-25
4,09:04,"3pt jump shot (outside left wing) made by Matilda Ekh(Hokies), assist Carleigh Wenzel(Hokies)",58 - 55,5254196,561196,560611,2024-03-25
4,09:19,Free throw 1 of 1 made by Jada Walker(Bears),58 - 52,5254196,561196,560611,2024-03-25
4,09:19,Foul personal (shooting;1 free throw) (under the basket) Carleigh Wenzel(Hokies),57 - 52,5254196,561196,560611,2024-03-25
4,09:19,2pt driving layup (under the basket) made by Jada Walker(Bears),58 - 55,5254196,561196,560611,2024-03-25
4,09:25,"2pt turnaround jump shot (in the paint) missed by Matilda Ekh(Hokies), rebound defensive Bella Fontleroy(Bears)",55 - 52,5254196,561196,560611,2024-03-25
4,09:43,"Foul personal (inside right) Dre'una Edwards(Bears), foul on Clara Strack(Hokies)",55 - 52,5254196,561196,560611,2024-03-25
4,10:00,Period start,55 - 52,5254196,561196,560611,2024-03-25
4,10:00,Substitution Hokies: in Clara Strack,55 - 52,5254196,561196,560611,2024-03-25
4,10:00,Substitution Hokies: out Carys Baker,55 - 52,5254196,561196,560611,2024-03-25
3,00:00.00,Period end (confirmed),55 - 52,5254196,561196,560611,2024-03-25
3,00:00.10,3pt jump shot (back court) made by Jada Walker(Bears),55 - 52,5254196,561196,560611,2024-03-25
3,00:07.80,"3pt jump shot (outside left) made by Carleigh Wenzel(Hokies), assist Matilda Ekh(Hokies)",52 - 52,5254196,561196,560611,2024-03-25
3,00:30.00,Substitution Hokies: in Carys Baker,52 - 49,5254196,561196,560611,2024-03-25
3,00:30.00,Substitution Hokies: out Rose Micheaux,52 - 49,5254196,561196,560611,2024-03-25
3,00:30.00,Free throw 2 of 2 made by Jada Walker(Bears),52 - 49,5254196,561196,560611,2024-03-25
3,00:30.00,Free throw 1 of 2 made by Jada Walker(Bears),52 - 49,5254196,561196,560611,2024-03-25
3,00:30.00,"Foul personal (2 free throws) (back court) Rose Micheaux(Hokies), foul on Jada Walker(Bears)",50 - 49,5254196,561196,560611,2024-03-25
3,00:31.40,"2pt driving layup (off turnover) (in the paint) missed by Georgia Amoore(Hokies), rebound offensive Rose Micheaux(Hokies), rebound defensive dead ball Bears",50 - 49,5254196,561196,560611,2024-03-25
3,00:49.80,Turnover lost ball (inside left) Sarah Andrews(Bears),50 - 49,5254196,561196,560611,2024-03-25
3,01:01,Turnover bad pass (in the paint) Carleigh Wenzel(Hokies),50 - 49,5254196,561196,560611,2024-03-25
3,01:15,2pt layup (2nd chance) (under the basket) made by Bella Fontleroy(Bears),50 - 49,5254196,561196,560611,2024-03-25
3,01:19,"2pt pull up jump shot (inside center) missed by Jada Walker(Bears), rebound offensive Bella Fontleroy(Bears)",48 - 49,5254196,561196,560611,2024-03-25
3,01:32,Free throw 2 of 2 made by Carleigh Wenzel(Hokies),48 - 49,5254196,561196,560611,2024-03-25
3,01:32,"Free throw 1 of 2 missed by Carleigh Wenzel(Hokies), rebound offensive dead ball Hokies",48 - 48,5254196,561196,560611,2024-03-25
3,01:32,Substitution Bears: in Sarah Andrews,48 - 48,5254196,561196,560611,2024-03-25
3,01:32,Substitution Bears: in Bella Fontleroy,48 - 48,5254196,561196,560611,2024-03-25
3,01:32,Substitution Bears: out Yaya Felder,48 - 48,5254196,561196,560611,2024-03-25
3,01:32,Substitution Bears: out Denae Fritz,48 - 48,5254196,561196,560611,2024-03-25
3,01:32,Foul personal (2 free throws) (inside right) Jana Van Gytenbeek(Bears),48 - 48,5254196,561196,560611,2024-03-25
3,01:47,"2pt driving layup (in the paint) missed by Jada Walker(Bears), rebound defensive Rose Micheaux(Hokies)",48 - 48,5254196,561196,560611,2024-03-25
3,02:06,"2pt layup (in the paint) made by Rose Micheaux(Hokies), assist Georgia Amoore(Hokies)",48 - 48,5254196,561196,560611,2024-03-25
3,02:24,"Free throw 2 of 2 (off turnover) missed by Dre'una Edwards(Bears), rebound defensive Matilda Ekh(Hokies)",48 - 46,5254196,561196,560611,2024-03-25
3,02:25,"Free throw 1 of 2 (off turnover) missed by Dre'una Edwards(Bears), rebound offensive dead ball Bears",48 - 46,5254196,561196,560611,2024-03-25
3,02:25,"Foul personal (shooting;2 free throws) (inside right) Rose Micheaux(Hokies), foul on Dre'una Edwards(Bears)",55 - 52,5254196,561196,560611,2024-03-25
3,02:37,Turnover shot clock (team) (inside left wing) Hokies,48 - 46,5254196,561196,560611,2024-03-25
3,02:37,"2pt jump shot (2nd chance;blocked) (inside left wing) missed by Rose Micheaux(Hokies), block Dre'una Edwards(Bears), rebound offensive dead ball Hokies",48 - 46,5254196,561196,560611,2024-03-25
3,02:39,"2pt jump shot (inside right) missed by Carleigh Wenzel(Hokies), rebound offensive Rose Micheaux(Hokies)",48 - 46,5254196,561196,560611,2024-03-25
3,03:02,Substitution Bears: in Jana Van Gytenbeek,48 - 46,5254196,561196,560611,2024-03-25
3,03:02,Substitution Bears: in Denae Fritz,48 - 46,5254196,561196,560611,2024-03-25
3,03:02,Substitution Bears: out Sarah Andrews,48 - 46,5254196,561196,560611,2024-03-25
3,03:02,Substitution Bears: out Bella Fontleroy,48 - 46,5254196,561196,560611,2024-03-25
3,03:02,Substitution Hokies: in Carleigh Wenzel,48 - 46,5254196,561196,560611,2024-03-25
3,03:02,Substitution Hokies: out Carys Baker,48 - 46,5254196,561196,560611,2024-03-25
3,03:02,Timeout short Hokies,48 - 46,5254196,561196,560611,2024-03-25
3,03:09,"2pt driving layup (under the basket) missed by Sarah Andrews(Bears), rebound defensive Rose Micheaux(Hokies)",48 - 46,5254196,561196,560611,2024-03-25
3,03:24,2pt pull up jump shot (inside right) made by Matilda Ekh(Hokies),48 - 46,5254196,561196,560611,2024-03-25
3,03:49,2pt driving layup (under the basket) made by Sarah Andrews(Bears),48 - 44,5254196,561196,560611,2024-03-25
3,04:05,"3pt pull up jump shot (outside right) missed by Georgia Amoore(Hokies), rebound defensive Yaya Felder(Bears)",46 - 44,5254196,561196,560611,2024-03-25
3,04:19,2pt driving layup (under the basket) made by Jada Walker(Bears),46 - 44,5254196,561196,560611,2024-03-25
3,04:29,"3pt pull up jump shot (outside left) missed by Georgia Amoore(Hokies), rebound defensive Yaya Felder(Bears)",44 - 44,5254196,561196,560611,2024-03-25
3,04:43,"3pt jump shot (outside center) missed by Dre'una Edwards(Bears), rebound defensive Rose Micheaux(Hokies)",44 - 44,5254196,561196,560611,2024-03-25
3,04:55,"3pt jump shot (outside left) made by Matilda Ekh(Hokies), assist Georgia Amoore(Hokies)",44 - 44,5254196,561196,560611,2024-03-25
3,05:11,Free throw 2 of 2 made by Jada Walker(Bears),44 - 41,5254196,561196,560611,2024-03-25
3,05:11,Free throw 1 of 2 made by Jada Walker(Bears),43 - 41,5254196,561196,560611,2024-03-25
3,05:11,"Foul personal (shooting;2 free throws) (in the paint) Georgia Amoore(Hokies), foul on Jada Walker(Bears)",42 - 41,5254196,561196,560611,2024-03-25
3,05:17,"3pt jump shot (outside center) missed by Cayla King(Hokies), rebound defensive Yaya Felder(Bears)",42 - 41,5254196,561196,560611,2024-03-25
3,05:32,Free throw 2 of 2 made by Jada Walker(Bears),42 - 41,5254196,561196,560611,2024-03-25
3,05:32,"Free throw 1 of 2 missed by Jada Walker(Bears), rebound offensive dead ball Bears",41 - 41,5254196,561196,560611,2024-03-25
3,05:32,Foul personal (shooting;2 free throws) (inside right) Georgia Amoore(Hokies),41 - 41,5254196,561196,560611,2024-03-25
