Half,Clock,Play,Score,game_id,home_id,away_id,game_date
2,01:18,3pt jump shot (outside right) made by Alijah Martin(FAU),62 - 70,5252669,560901,560983,2024-03-16
2,01:39,"2pt hook shot (in the paint) missed by CJ Noland(UNT), rebound defensive Bryan Greenlee(FAU)",62 - 67,5252669,560901,560983,2024-03-16
2,01:46,Substitution FAU: in Bryan Greenlee,62 - 67,5252669,560901,560983,2024-03-16
2,01:46,Substitution FAU: out Nick Boyd,62 - 67,5252669,560901,560983,2024-03-16
2,01:46,Timeout full UNT,62 - 67,5252669,560901,560983,2024-03-16
2,01:55,2pt jump shot (inside right) made by Johnell Davis(FAU),62 - 67,5252669,560901,560983,2024-03-16
2,02:12,Jump ball held ball FAU,62 - 65,5252669,560901,560983,2024-03-16
2,02:15,"2pt driving layup (under the basket) missed by Jason Edwards(UNT), rebound defensive Vladislav Goldin(FAU)",62 - 65,5252669,560901,560983,2024-03-16
2,02:28,Jump ball held ball UNT,62 - 65,5252669,560901,560983,2024-03-16
2,02:31,"Free throw 1 of 1 missed by CJ Noland(UNT), rebound offensive Jason Edwards(UNT), rebound offensive Robert Allen(UNT)",62 - 65,5252669,560901,560983,2024-03-16
2,02:31,Foul personal (one and one) (in the paint) Brandon Weatherspoon(FAU),62 - 65,5252669,560901,560983,2024-03-16
2,02:42,Free throw 1 of 1 (2nd chance) made by Vladislav Goldin(FAU),62 - 65,5252669,560901,560983,2024-03-16
2,02:42,Substitution UNT: in John Buggs III,62 - 64,5252669,560901,560983,2024-03-16
2,02:42,Substitution UNT: out Rubin Jones,62 - 64,5252669,560901,560983,2024-03-16
2,02:42,Foul personal (shooting;1 free throw) (under the basket) Rubin Jones(UNT),62 - 64,5252669,560901,560983,2024-03-16
2,02:42,2pt layup (2nd chance) (under the basket) made by Vladislav Goldin(FAU),62 - 64,5252669,560901,560983,2024-03-16
2,02:44,"2pt hook shot (in the paint) missed by Vladislav Goldin(FAU), rebound offensive Vladislav Goldin(FAU)",62 - 62,5252669,560901,560983,2024-03-16
2,03:09,"2pt driving layup (off turnover) (under the basket) made by Rubin Jones(UNT), assist CJ Noland(UNT)",62 - 62,5252669,560901,560983,2024-03-16
2,03:32,"Turnover lost ball (inside right) Vladislav Goldin(FAU), steal Rubin Jones(UNT)",60 - 62,5252669,560901,560983,2024-03-16
2,03:48,Free throw 2 of 2 made by Aaron Scott(UNT),60 - 62,5252669,560901,560983,2024-03-16
2,03:48,Free throw 1 of 2 made by Aaron Scott(UNT),59 - 62,5252669,560901,560983,2024-03-16
2,03:48,Substitution UNT: in Rubin Jones,58 - 62,5252669,560901,560983,2024-03-16
2,03:48,Substitution UNT: out John Buggs III,58 - 62,5252669,560901,560983,2024-03-16
2,03:48,Timeout commercial,58 - 62,5252669,560901,560983,2024-03-16
2,03:48,Foul personal (one and one) (in the paint) Nick Boyd(FAU),58 - 62,5252669,560901,560983,2024-03-16
2,04:08,2pt driving layup (under the basket) made by Johnell Davis(FAU),58 - 62,5252669,560901,560983,2024-03-16
2,04:23,"2pt turnaround jump shot (inside left) missed by Aaron Scott(UNT), rebound defensive Vladislav Goldin(FAU)",58 - 60,5252669,560901,560983,2024-03-16
2,04:56,2pt layup (2nd chance) (in the paint) made by Nick Boyd(FAU),58 - 60,5252669,560901,560983,2024-03-16
2,05:01,2pt dunk (2nd chance) (under the basket) missed by Vladislav Goldin(FAU),58 - 60,5252669,560901,560983,2024-03-16
2,05:04,"2pt driving layup (under the basket) missed by Nick Boyd(FAU), rebound offensive Vladislav Goldin(FAU)",58 - 58,5252669,560901,560983,2024-03-16
2,05:11,"2pt floating jump shot (in the paint) missed by CJ Noland(UNT), rebound defensive Vladislav Goldin(FAU)",58 - 58,5252669,560901,560983,2024-03-16
2,05:24,Substitution FAU: in Nick Boyd,58 - 58,5252669,560901,560983,2024-03-16
2,05:24,Substitution FAU: out Jalen Gaffney,58 - 58,5252669,560901,560983,2024-03-16
2,05:24,Timeout commercial,58 - 58,5252669,560901,560983,2024-03-16
